Iteration	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
840	-16.92578	-15.70571	-1.220067	0.07055531	0.7628918	0.2680675	9.824168	9.984373
850	-23.05914	-17.95604	-5.103105	0.2168122	0.9216056	0.584473	3.196993	8.393904
860	-16.83924	-15.58956	-1.249675	0.07156495	0.7660212	0.2702703	9.685568	9.493506
870	-18.36538	-16.66058	-1.7048	0.07631992	0.7797923	0.3851555	9.082127	9.507237
880	-17.91708	-16.61932	-1.297763	0.08106502	0.7921091	0.2318102	8.550509	9.33838
890	-21.38618	-18.8022	-2.583985	0.1355644	0.8746643	0.2639253	5.113048	8.624358
900	-19.39928	-16.51927	-2.880003	0.1333214	0.8725617	0.3721445	5.199071	8.785202
910	-18.33757	-16.107	-2.230574	0.1080178	0.8429206	0.3325512	6.416973	8.731879
920	-21.21218	-17.21998	-3.9922	0.1834335	0.9073421	0.3907631	3.778739	8.616286
930	-17.69289	-15.93505	-1.75784	0.08620291	0.8040634	0.3293004	8.040879	9.422883
940	-22.72908	-18.02346	-4.705628	0.2183571	0.9221603	0.3801062	3.174374	8.446927
950	-19.30656	-17.46363	-1.84293	0.08106826	0.7921171	0.3998213	8.550167	8.943016
960	-16.74012	-15.48887	-1.251254	0.07341098	0.7715513	0.2602983	9.44201	9.612643
970	-17.41536	-15.98427	-1.431095	0.06932471	0.7589727	0.3398078	9.998559	9.902731
980	-21.06452	-17.9152	-3.149322	0.1427156	0.8809306	0.3991167	4.856841	8.216238
990	-19.83489	-17.75726	-2.077633	0.08900355	0.8100469	0.4272349	7.78786	9.557377
1000	-19.98972	-17.59605	-2.393665	0.1185345	0.8567422	0.3131618	5.847641	8.413009
1010	-17.09678	-15.73288	-1.363898	0.06930613	0.7589126	0.3178493	10.00124	9.608248
1020	-26.39219	-23.02279	-3.3694	0.1225759	0.861438	0.7625718	5.65484	8.293808
1030	-16.91897	-15.62109	-1.297877	0.06859138	0.7565808	0.3020895	10.10546	9.606684
1040	-19.04164	-17.00218	-2.039465	0.09047455	0.8130525	0.3985971	7.661239	9.42184
1050	-17.86884	-16.62754	-1.241293	0.072519	0.7689095	0.2626429	9.558145	9.22068
1060	-21.03468	-17.92342	-3.111256	0.1361053	0.875161	0.4420661	5.092726	8.247182
1070	-17.43094	-16.54384	-0.8870989	0.06288737	0.7364073	0.2261016	11.02204	9.750232
1080	-18.54316	-16.94191	-1.601251	0.07768792	0.7834801	0.3373325	8.922201	9.974718
1090	-20.68286	-19.478	-1.204865	0.08231961	0.7951528	0.205696	8.420195	9.04459
1100	-19.76781	-17.56545	-2.202362	0.09301785	0.8180401	0.4444686	7.451765	8.921129
1110	-17.42675	-15.83695	-1.589793	0.07706616	0.7818183	0.3379184	8.994183	9.48425
1120	-18.47883	-16.26429	-2.214548	0.1029086	0.8352225	0.3647401	6.735564	9.084131
1130	-18.78354	-16.33342	-2.45012	0.1114943	0.8477695	0.3847401	6.216884	8.758209
1140	-19.02945	-17.38202	-1.647436	0.07060576	0.7630499	0.4105661	9.817148	9.60796
1150	-20.82482	-17.2518	-3.573029	0.1550335	0.8903782	0.4694565	4.47095	8.414067
1160	-17.94091	-16.51451	-1.426403	0.0764635	0.7801849	0.2906743	9.065072	9.076159
1170	-18.36144	-16.44626	-1.915185	0.09488254	0.8215379	0.3205807	7.305319	8.74105
1180	-21.54014	-19.74668	-1.793461	0.07054972	0.7628742	0.4756829	9.824945	9.035225
1190	-22.39257	-20.11404	-2.278537	0.09288756	0.8177908	0.4809772	7.462217	8.296732
1200	-18.39721	-17.02901	-1.368207	0.06444117	0.7421933	0.3539378	10.75628	9.502911
1210	-16.65559	-15.36751	-1.28808	0.07007801	0.7613856	0.2898549	9.891079	9.821102
1220	-17.60456	-16.19461	-1.409951	0.07430708	0.7741499	0.2993193	9.328145	9.972113
1230	-16.96478	-15.5059	-1.45888	0.07669323	0.7808102	0.2988091	9.037918	9.408567
1240	-19.09145	-16.74064	-2.350811	0.1076721	0.8424219	0.3778005	6.437576	8.583506
1250	-17.04906	-15.59456	-1.4545	0.07465692	0.7751497	0.3106404	9.284433	9.696672
1260	-16.99538	-16.10308	-0.8923018	0.05756922	0.7147388	0.2544332	12.04024	9.960273
1270	-17.1988	-15.82195	-1.376844	0.07454478	0.7748301	0.288115	9.2984	9.301208
1280	-19.42301	-17.65296	-1.770042	0.09835622	0.8277205	0.2575668	7.047314	8.705431
1290	-24.01143	-19.91342	-4.098009	0.1779458	0.9044854	0.488021	3.895271	9.083234
1300	-16.93914	-15.57551	-1.363639	0.07052701	0.7628029	0.3096403	9.82811	9.862808
1310	-18.1237	-16.20721	-1.916484	0.08888923	0.8098095	0.3645306	7.797876	9.291611
1320	-17.7641	-15.8642	-1.899899	0.09108999	0.8142832	0.342176	7.609477	9.129667
1330	-18.31497	-17.22998	-1.084991	0.07494496	0.7759667	0.2133672	9.24875	9.67054
1340	-18.60657	-17.19768	-1.408888	0.06305204	0.7370314	0.3796611	10.99326	9.722598
1350	-16.98314	-15.64775	-1.335394	0.06763894	0.7534091	0.3200416	10.24775	9.836695
1360	-18.6911	-16.25276	-2.438344	0.1187966	0.8570562	0.3256544	5.834737	8.817616
1370	-17.7522	-16.45032	-1.301877	0.06419921	0.7413073	0.3329277	10.79682	9.609447
1380	-20.16445	-17.2697	-2.894741	0.1307701	0.8700837	0.3986797	5.300504	8.986378
1390	-18.11903	-17.31015	-0.8088802	0.05437224	0.7001531	0.2504993	12.74818	9.922705
1400	-17.56834	-16.4785	-1.089834	0.06881434	0.7573125	0.2441907	10.07271	9.436695
1410	-17.82384	-15.98799	-1.835848	0.09094195	0.8139886	0.3219563	7.621864	9.331475
1420	-19.27207	-16.78289	-2.489185	0.1161277	0.8537939	0.3626044	5.968835	8.49278
1430	-19.05042	-17.38906	-1.661359	0.07197301	0.7672646	0.4044174	9.630655	9.386285
1440	-17.79903	-16.7616	-1.037426	0.06994077	0.7609493	0.2262496	9.910489	9.475221
1450	-17.05938	-15.80948	-1.249897	0.07164364	0.7662619	0.2698791	9.674929	9.965583
1460	-18.56267	-16.31049	-2.252187	0.1069622	0.8413882	0.3475139	6.480298	8.66781
1470	-17.63921	-16.5862	-1.053008	0.05636592	0.7093969	0.3065186	12.29728	9.918934
1480	-21.09067	-18.83028	-2.26039	0.09018649	0.8124711	0.5001903	7.68571	8.915863
1490	-18.32202	-16.74729	-1.574733	0.08845487	0.8089022	0.2614066	7.836167	8.91069
1500	-23.78876	-21.6625	-2.126262	0.07481509	0.775599	0.6060982	9.264805	9.698988
1510	-22.43772	-17.81634	-4.621371	0.2137389	0.9204785	0.3853653	3.242962	8.522455
1520	-22.55047	-20.97912	-1.571345	0.056049	0.7079609	0.5181894	12.36681	9.908549
1530	-17.97952	-16.09296	-1.88656	0.09661928	0.8246815	0.3002619	7.174005	8.842002
1540	-17.00618	-15.8913	-1.114878	0.06823791	0.7554124	0.2534648	10.1578	9.549676
1550	-17.24307	-15.71652	-1.526545	0.07654941	0.7804191	0.3207052	9.054899	9.647101
1560	-19.51599	-16.77082	-2.74517	0.1330451	0.872298	0.3271143	5.209865	8.526332
1570	-17.3923	-15.94683	-1.445474	0.0768337	0.7811909	0.2939526	9.021395	9.199941
1580	-21.98403	-18.4157	-3.568332	0.1549554	0.890323	0.4680323	4.473205	8.141334
1590	-18.91196	-17.002	-1.909961	0.09459962	0.8210156	0.3208308	7.327167	9.477075
1600	-17.36052	-16.12638	-1.234145	0.06361648	0.7391509	0.3149956	10.89572	9.674002
1610	-17.15066	-15.68909	-1.461569	0.07781505	0.783817	0.2925658	8.907624	9.667499
1620	-18.76647	-16.75338	-2.013093	0.1068589	0.8412366	0.2742126	6.486563	8.981613
1630	-19.08573	-16.45822	-2.627511	0.1198665	0.8583241	0.3846371	5.782657	8.88097
1640	-16.37388	-15.24471	-1.129174	0.06594842	0.7475919	0.2699141	10.51044	9.953864
1650	-18.37668	-16.95963	-1.417052	0.0741378	0.7736632	0.3025371	9.349443	9.043775
1660	-21.35943	-18.16359	-3.195838	0.157695	0.8922266	0.304268	4.395493	8.612612
1670	-19.76488	-17.32145	-2.443432	0.1040865	0.8370617	0.4472298	6.659335	8.984731
1680	-18.22959	-16.4429	-1.786694	0.08151064	0.7931999	0.3744258	8.503763	9.491582
1690	-21.95995	-20.01616	-1.943792	0.1020066	0.8337869	0.2836009	6.79512	8.329357
1700	-17.07728	-15.56506	-1.512225	0.07679144	0.7810765	0.314526	9.02636	9.49717
1710	-17.0348	-15.90019	-1.134608	0.05992201	0.7246997	0.3084064	11.56749	9.94515
1720	-18.65513	-16.94965	-1.705484	0.08169732	0.7936536	0.343856	8.484332	8.873866
1730	-19.85853	-17.25381	-2.60472	0.1218434	0.8606095	0.3605246	5.688836	9.075748
1740	-19.24574	-17.07698	-2.168758	0.09456164	0.8209452	0.41593	7.33011	8.853499
1750	-17.3967	-15.79309	-1.603605	0.0783043	0.7851045	0.3337337	8.851969	9.513377
1760	-17.87769	-16.13943	-1.738259	0.08233672	0.7951937	0.3505244	8.418446	9.145648
1770	-18.18649	-17.20609	-0.9804017	0.07043388	0.7625102	0.2114842	9.841104	9.543503
1780	-19.15773	-17.39298	-1.764748	0.07842891	0.7854301	0.3910526	8.837904	9.892058
1790	-17.25645	-16.02651	-1.22993	0.06715705	0.7517758	0.2909679	10.32129	9.489064
1800	-18.5702	-16.26121	-2.308983	0.1063154	0.8404347	0.3729059	6.519722	8.772883
1810	-19.74567	-18.11145	-1.634223	0.08283177	0.7963714	0.3125888	8.368132	8.658761
1820	-18.24228	-16.63572	-1.606564	0.07605576	0.7790667	0.3510807	9.113671	9.135411
1830	-19.09543	-16.65788	-2.437545	0.1084471	0.8435357	0.4053104	6.391567	8.730008
1840	-17.08197	-15.97254	-1.109433	0.07054244	0.7628514	0.2400575	9.82596	9.919538
1850	-19.05031	-16.71697	-2.333344	0.1176635	0.8556888	0.3003303	5.89093	8.902759
1860	-18.87332	-16.36785	-2.505464	0.1173734	0.8553346	0.3589405	5.905487	8.927979
1870	-17.62998	-16.39932	-1.230658	0.07753044	0.7830615	0.2336485	8.940323	9.374741
1880	-18.4436	-16.90235	-1.541247	0.09084135	0.8137878	0.2403149	7.630305	9.107073
1890	-17.95118	-16.32945	-1.621721	0.08402326	0.7991542	0.3009979	8.249468	8.941326
1900	-17.68274	-16.58799	-1.094748	0.05858195	0.7191028	0.3049032	11.8321	9.775375
1910	-17.47907	-16.02759	-1.451484	0.07153549	0.765931	0.3309132	9.689556	9.437997
1920	-18.11132	-16.56184	-1.549474	0.07720422	0.7821894	0.3236155	8.9781	9.048539
1930	-17.57556	-16.12118	-1.454386	0.07604877	0.7790475	0.3015654	9.114509	9.172382
1940	-18.9694	-17.33272	-1.636682	0.09429296	0.820446	0.2457075	7.350996	9.254899
1950	-20.11588	-18.36349	-1.752391	0.07076679	0.7635536	0.4544441	9.794809	9.814449
1960	-18.59776	-16.40611	-2.191655	0.1003139	0.831026	0.3766631	6.909784	8.791134
1970	-18.44345	-16.43048	-2.012965	0.09780252	0.8267628	0.3322714	7.087212	8.710231
1980	-19.13066	-16.79545	-2.335212	0.1075922	0.8423062	0.3725843	6.442358	8.560127
1990	-18.88417	-17.6665	-1.217671	0.07039504	0.762388	0.2683371	9.846534	9.102716
2000	-17.18346	-15.92055	-1.262917	0.06785862	0.7541473	0.2962824	10.21458	9.4986
2010	-16.67425	-15.47495	-1.199304	0.06922607	0.7586534	0.2700703	10.01281	9.966402
2020	-23.39181	-19.07607	-4.315731	0.1758528	0.903349	0.6342819	3.941632	8.523344
2030	-19.19299	-17.8349	-1.358093	0.0866172	0.804971	0.2188599	8.002419	9.291555
2040	-17.14558	-15.70488	-1.440701	0.07562309	0.7778687	0.3001657	9.165814	9.32111
2050	-17.64074	-16.41592	-1.224827	0.07607217	0.7791119	0.2395906	9.111706	9.74206
2060	-19.23905	-17.48371	-1.755338	0.09488146	0.8215359	0.2732289	7.305402	8.675079
2070	-17.61145	-15.98371	-1.627732	0.07958586	0.7884101	0.3327116	8.709426	9.629022
2080	-18.05526	-16.37068	-1.684573	0.07719063	0.7821529	0.3705336	8.97968	9.451371
2090	-18.97848	-17.39673	-1.581746	0.08496516	0.8013038	0.28348	8.158016	8.773636
2100	-19.25855	-17.01415	-2.244395	0.1131167	0.8499336	0.302601	6.127715	8.545219
2110	-18.60721	-16.88855	-1.718665	0.0788395	0.7864966	0.3702013	8.791877	9.050106
2120	-18.07155	-15.98812	-2.083426	0.09911889	0.829023	0.346707	6.993088	9.071246
2130	-16.8462	-15.62531	-1.220885	0.0701094	0.7614852	0.2708374	9.886652	9.98556
2140	-19.84291	-16.76295	-3.079957	0.1454052	0.8831291	0.3517138	4.767005	8.490305
2150	-16.83078	-15.80382	-1.026968	0.06185483	0.7324326	0.2658052	11.20603	9.793808
2160	-21.3378	-18.05912	-3.278671	0.1574431	0.8920544	0.3323162	4.402525	8.32805
2170	-17.65926	-16.08336	-1.575899	0.07459767	0.7749809	0.3511778	9.291808	9.649125
2180	-20.59085	-18.80604	-1.784808	0.07040478	0.7624186	0.4730373	9.845172	9.80687
2190	-16.96501	-15.59452	-1.370488	0.07163894	0.7662475	0.3044982	9.675565	9.862055
2200	-20.30191	-18.94511	-1.356798	0.05845743	0.7185726	0.3972981	11.8573	9.46428
2210	-17.04184	-15.75552	-1.286321	0.07636428	0.7799137	0.2532119	9.07685	9.597002
2220	-19.91847	-17.09316	-2.825308	0.1389302	0.8776932	0.3128009	4.989175	8.555245
2230	-17.39879	-15.75636	-1.642426	0.08643796	0.8045793	0.2919458	8.019014	9.088457
2240	-18.95303	-17.77392	-1.179113	0.07303597	0.7704475	0.2441166	9.49049	9.112375
2250	-18.60689	-16.88442	-1.722471	0.08023375	0.7900453	0.3607794	8.639097	8.969984
2260	-17.63396	-15.93855	-1.695415	0.08859423	0.8091942	0.2940652	7.823841	8.983785
2270	-18.20469	-16.44506	-1.759635	0.08156026	0.7933207	0.3640466	8.498589	9.599589
2280	-19.76112	-17.73511	-2.026003	0.09208485	0.8162403	0.3800562	7.527266	9.644714
2290	-19.32067	-17.32588	-1.994796	0.08764454	0.8071874	0.4047765	7.908618	9.562131
2300	-20.03262	-18.34357	-1.689048	0.07927032	0.787605	0.3561273	8.744095	8.679915
2310	-18.51999	-16.32058	-2.199418	0.1020596	0.8338719	0.365794	6.791592	8.754279
2320	-16.58186	-15.44648	-1.135375	0.06509702	0.7445676	0.2765444	10.64791	9.776117
2330	-19.96802	-18.09465	-1.873366	0.07946067	0.7880914	0.4264802	8.723148	9.893278
2340	-17.03206	-15.70639	-1.325668	0.06669473	0.7501903	0.3233584	10.39283	9.946203
2350	-16.90372	-15.63029	-1.273433	0.07165755	0.7663044	0.2762249	9.673052	9.462235
2360	-17.11883	-15.66455	-1.454285	0.0733795	0.771459	0.3191075	9.44606	9.509165
2370	-17.49391	-15.87156	-1.622356	0.08879173	0.8096066	0.272204	7.806438	9.168802
2380	-18.7124	-17.57565	-1.136752	0.07182826	0.7668249	0.2400655	9.650062	9.191519
2390	-20.8617	-17.84206	-3.019641	0.1447184	0.8825754	0.3359875	4.789626	8.316435
2400	-17.8314	-16.4359	-1.395503	0.06527411	0.7452021	0.3573592	10.61902	9.790556
2410	-19.37354	-17.0633	-2.310238	0.1078398	0.8426642	0.3614904	6.427566	9.233973
2420	-17.30417	-16.12669	-1.177483	0.07257406	0.7690742	0.2461195	9.550895	9.900258
2430	-16.71239	-15.40737	-1.305021	0.06979568	0.7604864	0.2965786	9.93109	9.836081
2440	-17.32422	-15.81164	-1.512584	0.08416468	0.7994798	0.2690683	8.235606	9.194074
2450	-16.42979	-15.41914	-1.010652	0.06393307	0.7403264	0.2502219	10.84176	9.902075
2460	-16.42412	-15.29301	-1.131108	0.06528222	0.745231	0.2742868	10.6177	9.869146
2470	-21.6254	-18.78474	-2.840658	0.1147531	0.852056	0.5305717	6.040337	8.566622
2480	-20.45502	-19.24837	-1.206646	0.08112653	0.7922603	0.2113462	8.544026	9.710101
2490	-16.9884	-15.5937	-1.394697	0.0741739	0.7737672	0.2956222	9.344893	9.406999
2500	-16.5134	-15.4951	-1.018304	0.06518029	0.7448663	0.2455581	10.63431	9.856354
2510	-16.66467	-15.68821	-0.9764577	0.0641174	0.7410065	0.2408663	10.81059	9.832789
2520	-23.52783	-20.97017	-2.557661	0.09818223	0.8274207	0.5682664	7.059803	9.678274
2530	-18.17243	-16.49257	-1.679859	0.08041784	0.7905057	0.3443811	8.619321	9.746863
2540	-19.4241	-17.34881	-2.075287	0.08829631	0.8085689	0.4326785	7.850239	9.225125
2550	-18.25789	-16.13928	-2.118615	0.1008759	0.8319525	0.3459813	6.871284	8.782964
2560	-18.05004	-16.48932	-1.560726	0.07366551	0.772295	0.3527992	9.409385	9.937338
2570	-17.01899	-15.58381	-1.435174	0.07299088	0.7703141	0.3156592	9.496354	9.691046
2580	-20.03143	-18.82398	-1.207456	0.05294975	0.6932412	0.384605	13.09066	9.823346
2590	-16.8039	-15.43582	-1.368081	0.07202329	0.767417	0.3012987	9.623931	9.650454
2600	-19.37844	-17.51653	-1.861913	0.08607915	0.8037908	0.3663794	8.052439	9.777203
2610	-16.98957	-15.49189	-1.497679	0.07981313	0.7889864	0.2907316	8.684626	9.438618
2620	-18.44586	-16.55841	-1.887451	0.08461434	0.8005083	0.3877228	8.191841	9.269894
2630	-17.97501	-16.22643	-1.748582	0.09251735	0.8170788	0.2853511	7.492077	8.880584
2640	-17.0758	-15.55131	-1.524491	0.07817721	0.7847714	0.3091809	8.866358	9.519258
2650	-21.63497	-18.13844	-3.496531	0.1697355	0.899867	0.3183344	4.08369	8.548061
2660	-18.17408	-16.26383	-1.910246	0.09225556	0.8165721	0.3372889	7.513338	9.369351
2670	-16.99306	-15.86829	-1.124774	0.06888368	0.7575393	0.2525017	10.06258	9.54086
2680	-16.83147	-15.67164	-1.159825	0.07189935	0.7670411	0.2452987	9.640521	9.689376
2690	-18.59315	-17.38213	-1.211024	0.08015751	0.7898541	0.2166834	8.647314	9.34055
2700	-17.47545	-16.37364	-1.101812	0.07129552	0.7651935	0.2344581	9.722171	9.459639
2710	-17.9515	-15.95893	-1.992574	0.09659287	0.8246345	0.3340296	7.175966	9.158267
2720	-17.6178	-15.74884	-1.868962	0.0944412	0.8207218	0.3089801	7.339458	9.036012
2730	-16.64547	-15.46963	-1.175837	0.07048088	0.762658	0.2568748	9.834543	9.659931
2740	-17.12764	-15.94615	-1.181492	0.06300003	0.7368346	0.3027741	11.00233	9.725972
2750	-19.90052	-17.8634	-2.037121	0.08869994	0.8094151	0.4129243	7.814517	8.683919
2760	-19.33436	-17.4271	-1.907256	0.09102089	0.8141458	0.3452086	7.615254	9.645556
2770	-17.87853	-16.21967	-1.65886	0.07803295	0.7843922	0.3547301	8.88275	9.644755
2780	-20.00633	-18.04245	-1.963879	0.08058738	0.790928	0.4558533	8.601187	9.357088
2790	-17.14479	-15.75886	-1.385936	0.07884241	0.7865041	0.2654048	8.791552	9.577315
2800	-16.75004	-15.59263	-1.15741	0.06756206	0.7531499	0.2682982	10.25941	9.622616
2810	-18.15198	-17.30096	-0.851018	0.06279599	0.7360598	0.2185123	11.03808	9.673041
2820	-20.9111	-17.8	-3.111092	0.14123	0.8796805	0.3964501	4.907933	8.235364
2830	-19.47792	-16.55609	-2.921835	0.1377451	0.8766434	0.353273	5.032099	8.726227
2840	-20.23005	-16.7299	-3.500147	0.1578466	0.8923301	0.4111673	4.391271	8.477606
2850	-16.87711	-15.6504	-1.226706	0.07257312	0.7690714	0.2585424	9.551017	9.813168
2860	-19.69079	-16.66776	-3.023029	0.1389859	0.877742	0.3807361	4.987178	8.781328
