Iteration	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
0	-18.65475	-17.76983	-0.8849172	0.06671874	0.7502731	0.2079923	10.38909	9.563024
10	-16.6122	-15.35312	-1.259079	0.06925912	0.7587605	0.2865051	10.00803	9.869852
20	-18.7404	-16.86032	-1.880078	0.1028172	0.8350782	0.2615575	6.741549	8.998392
30	-17.74235	-16.48156	-1.260788	0.0776013	0.78325	0.2404337	8.93216	9.25716
40	-18.07444	-16.17897	-1.89547	0.08822207	0.8084125	0.3620396	7.856846	9.308485
50	-21.0384	-18.07177	-2.966631	0.123841	0.8628462	0.4962516	5.597075	8.953171
60	-17.59219	-15.97306	-1.619132	0.08426786	0.7997166	0.2986656	8.225523	9.03097
70	-18.22378	-16.96824	-1.255543	0.06457097	0.7426663	0.315356	10.73466	9.388735
80	-18.85373	-17.07938	-1.774355	0.07739623	0.7827035	0.4035752	8.955826	9.32829
90	-19.44666	-16.85562	-2.591046	0.129267	0.8685786	0.3037967	5.362137	8.678809
100	-20.6937	-17.18513	-3.508567	0.1640817	0.8964186	0.3632577	4.224403	8.405463
110	-17.54603	-16.28288	-1.263149	0.06719382	0.7519011	0.3005613	10.31564	9.425712
120	-16.37658	-15.24794	-1.128638	0.0655047	0.7460239	0.2723216	10.58164	9.920083
130	-16.71028	-15.47127	-1.239003	0.06695218	0.7510754	0.2948992	10.35287	9.733331
140	-17.67502	-16.15504	-1.519982	0.07276243	0.769636	0.3452675	9.526169	9.431699
150	-19.43578	-16.96885	-2.466925	0.1251317	0.8642541	0.2929459	5.539342	8.668366
160	-16.63236	-15.36877	-1.263597	0.0689024	0.7576005	0.2899891	10.05984	9.721812
170	-18.42686	-16.14577	-2.281093	0.1074615	0.8421165	0.3539367	6.450194	8.988759
180	-18.98572	-16.77773	-2.207986	0.09781729	0.8267885	0.4036951	7.086142	8.836076
190	-18.63762	-16.5994	-2.038222	0.1073295	0.8419246	0.2783967	6.458125	8.788123
200	-18.05734	-16.36626	-1.691083	0.09122859	0.8145582	0.2768758	7.597916	8.890102
210	-17.309	-16.49916	-0.8098426	0.06071907	0.727936	0.2191462	11.41564	9.911461
220	-19.03827	-17.34177	-1.696495	0.07676219	0.7809973	0.3784021	9.029799	9.010505
230	-17.68613	-16.00184	-1.684294	0.08057872	0.7909064	0.344733	8.602112	9.239914
240	-16.59597	-15.42987	-1.166096	0.06911397	0.7582897	0.2618714	10.02905	9.675774
250	-17.55061	-16.14314	-1.407461	0.06729624	0.7522496	0.3464679	10.29994	9.744846
260	-19.58824	-17.29094	-2.297303	0.1051859	0.8387425	0.3775167	6.589735	9.308091
270	-16.92829	-15.69754	-1.230746	0.07042506	0.7624825	0.2716955	9.842337	9.482343
280	-21.10131	-19.67618	-1.425126	0.05756326	0.7147128	0.4335422	12.04148	9.49811
290	-17.14518	-15.61034	-1.534838	0.0775704	0.7831679	0.3164452	8.935717	9.54576
300	-16.506	-15.33945	-1.166553	0.06690339	0.7509081	0.2745733	10.36042	9.771994
310	-17.4803	-15.87773	-1.602573	0.0774512	0.7828502	0.3394796	8.94947	9.40781
320	-19.74021	-16.68616	-3.054054	0.1426639	0.8808875	0.3632471	4.858601	8.477502
330	-19.43441	-17.3764	-2.058005	0.08855635	0.8091149	0.4229254	7.827187	8.924695
340	-17.56141	-16.23108	-1.330334	0.07976069	0.7888537	0.2462059	8.690335	9.251428
350	-18.29736	-17.34051	-0.9568475	0.05449243	0.7007248	0.2897079	12.72006	9.83926
360	-17.67871	-15.80534	-1.873372	0.09145161	0.8149991	0.3306715	7.579388	9.043424
370	-18.81224	-16.22772	-2.584519	0.1194799	0.8578685	0.3714864	5.801369	8.723489
380	-20.15345	-18.68441	-1.469036	0.06501449	0.744271	0.3867522	10.66143	9.138956
390	-21.94967	-18.28947	-3.660202	0.1515161	0.8878362	0.5519119	4.574742	8.679643
400	-17.14745	-16.07114	-1.07631	0.06186765	0.7324827	0.2791735	11.20371	9.708762
410	-17.84712	-16.54632	-1.3008	0.06470034	0.7431363	0.3290514	10.71319	9.531808
420	-17.55401	-15.89876	-1.655249	0.08687208	0.8055253	0.2930022	7.978941	9.021742
430	-23.04183	-20.37367	-2.668156	0.1064142	0.8405809	0.5329376	6.513674	9.568243
440	-18.07191	-16.67686	-1.395049	0.06394202	0.7403595	0.3674379	10.84024	9.853181
450	-17.40626	-15.89324	-1.513014	0.07402317	0.7733325	0.3338187	9.363921	9.750033
460	-18.12515	-16.61765	-1.507503	0.06994524	0.7609635	0.3619915	9.909854	9.457107
470	-18.8181	-17.27176	-1.546338	0.08594497	0.8034943	0.2679878	8.065011	9.651737
480	-16.83586	-15.67659	-1.159264	0.06589245	0.7473951	0.27849	10.51937	9.646615
490	-17.73971	-15.91649	-1.823227	0.09279126	0.8176061	0.3056842	7.469962	8.927788
500	-19.49707	-17.68939	-1.807677	0.08662368	0.8049851	0.3430507	8.001821	8.633374
510	-18.22884	-16.82719	-1.401647	0.08076483	0.7913682	0.2588305	8.58229	9.73672
520	-18.34869	-17.0218	-1.326895	0.06576944	0.7469615	0.330175	10.53905	9.350161
530	-19.68219	-16.84286	-2.839333	0.1382998	0.877137	0.3214906	5.011916	8.589627
540	-21.31	-18.37672	-2.933278	0.122396	0.8612354	0.4949184	5.663154	8.370906
550	-18.95826	-16.895	-2.06326	0.09890135	0.8286535	0.3413573	7.00847	9.368742
560	-19.51321	-17.01937	-2.493841	0.1207168	0.8593161	0.3304937	5.741928	8.45603
570	-17.55236	-15.71364	-1.838722	0.09260406	0.8172461	0.3116935	7.485063	9.112908
580	-18.01527	-16.05742	-1.957849	0.09156372	0.81522	0.3589645	7.570108	9.154063
590	-17.53188	-16.60219	-0.9296942	0.06528421	0.7452381	0.2242404	10.61738	9.66609
600	-17.41071	-16.04714	-1.36357	0.06636801	0.7490587	0.3381861	10.444	9.750834
610	-17.96276	-16.09201	-1.870755	0.09456923	0.8209593	0.3086946	7.329522	9.270215
620	-17.1614	-15.71371	-1.447682	0.07975421	0.7888373	0.2768993	8.691041	9.242075
630	-17.29618	-15.63402	-1.662154	0.0838715	0.7988038	0.3144284	8.264395	9.357099
640	-20.53122	-17.87244	-2.658776	0.1105168	0.8464359	0.4839431	6.271874	8.925162
650	-18.05932	-15.94961	-2.109711	0.1002263	0.8308808	0.3476739	6.91582	8.946577
660	-19.08868	-16.82885	-2.259837	0.1069729	0.8414038	0.3501032	6.479651	8.5392
670	-18.52788	-17.27965	-1.248232	0.06466698	0.7430152	0.3124218	10.71872	9.31477
680	-20.72165	-19.4888	-1.232857	0.0799993	0.7894563	0.2222111	8.664416	9.879907
690	-19.062	-17.75727	-1.304734	0.05963091	0.7235007	0.3678668	11.62396	9.609151
700	-17.3919	-16.28237	-1.109527	0.06082437	0.7283586	0.2950629	11.39588	9.715656
710	-16.94612	-15.50018	-1.445943	0.07630321	0.7797466	0.2974198	9.084115	9.417329
720	-19.73934	-17.02022	-2.719118	0.126091	0.8652822	0.3693791	5.497196	8.989507
730	-19.88219	-17.64733	-2.23486	0.1028259	0.8350919	0.3728784	6.740981	9.416339
740	-17.24119	-16.07188	-1.169306	0.07202525	0.7674229	0.2469746	9.623669	9.427283
750	-19.14712	-17.02399	-2.123131	0.09428579	0.8204327	0.3997114	7.351555	8.766258
760	-17.98801	-16.4066	-1.581413	0.08453895	0.8003365	0.2859603	8.199146	8.938934
770	-18.10672	-16.72244	-1.384281	0.08296366	0.796683	0.2427783	8.354829	9.523416
780	-16.61396	-15.61571	-0.9982509	0.06599257	0.747747	0.23657	10.50341	9.892697
790	-22.08659	-20.63478	-1.451812	0.06505717	0.7444245	0.3798034	10.65443	8.738165
800	-22.03199	-17.92581	-4.106174	0.1848369	0.9080455	0.4250872	3.750047	8.797715
810	-22.25302	-18.5671	-3.685922	0.1781749	0.9046082	0.3216327	3.890263	8.416052
820	-16.83	-15.76363	-1.066367	0.05928168	0.7220501	0.2920033	11.69243	9.967721
830	-18.86472	-16.7338	-2.13092	0.1036398	0.8363689	0.3303128	6.688041	8.589468
