Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	p_th	sigma2	t_half	theta
600	-20.45927	-17.93345	-2.52582	0.07691575	0	1	0.7814128	0.4321947	9.011772	9.833601
610	-19.08851	-16.15273	-2.935784	0.1036073	0	1	0.8363183	0.3696095	6.69014	8.913055
620	-18.7375	-16.5671	-2.170399	0.08110577	0	1	0.7922093	0.2771459	8.546213	9.743017
630	-17.94623	-15.80445	-2.141777	0.08087032	0	1	0.7916291	0.2706748	8.571095	9.213137
640	-18.02757	-15.79408	-2.233485	0.08344455	0	1	0.7978116	0.2809004	8.30668	9.13942
650	-17.6711	-15.5939	-2.077204	0.0715372	0	1	0.7659362	0.3093252	9.689326	9.83671
660	-18.74384	-16.30457	-2.439268	0.09530429	0	1	0.8223112	0.2683039	7.27299	8.952296
670	-17.85169	-15.93052	-1.92117	0.07503639	0	1	0.7762249	0.2456989	9.237481	9.432926
680	-21.06298	-17.57184	-3.491133	0.1181764	0	1	0.856311	0.4727846	5.865359	8.634085
690	-22.57806	-18.94678	-3.631285	0.1188469	0	1	0.8571163	0.5362307	5.832271	8.453365
700	-18.90217	-16.10324	-2.798927	0.1057072	0	1	0.8395278	0.3082868	6.557237	8.9912
710	-18.46817	-16.06576	-2.402414	0.08280432	0	1	0.7963064	0.3371459	8.370906	9.09099
720	-18.49593	-16.45746	-2.038463	0.07939606	0	1	0.7879265	0.2518635	8.730247	9.685592
730	-18.80116	-16.37199	-2.429173	0.08184889	0	1	0.7940207	0.3533817	8.46862	9.624999
740	-18.06368	-16.39986	-1.663822	0.0629132	0	1	0.7365053	0.2456755	11.01752	9.660861
750	-19.69441	-16.93475	-2.759662	0.09045354	0	1	0.8130102	0.4097089	7.663018	9.000004
760	-20.08602	-17.94461	-2.141406	0.08060428	0	1	0.79097	0.2721062	8.599385	9.950435
770	-18.16201	-16.47671	-1.685298	0.06897045	0	1	0.7578226	0.2207329	10.04992	9.95922
780	-19.83194	-17.4106	-2.421338	0.07361294	0	1	0.7721418	0.4175817	9.416105	9.61897
790	-18.23329	-16.07786	-2.155435	0.08364632	0	1	0.7982816	0.2587	8.286643	9.156051
800	-19.20293	-16.88002	-2.322917	0.07646826	0	1	0.7801978	0.3561917	9.064509	9.955595
810	-19.13649	-17.01607	-2.120422	0.06631172	0	1	0.7488628	0.3608618	10.45286	9.452886
820	-17.82753	-15.80432	-2.023213	0.07837226	0	1	0.7852822	0.2534997	8.844292	9.397862
830	-21.94179	-18.21	-3.731781	0.1266778	0	1	0.8659035	0.5021447	5.471733	8.417121
840	-18.07443	-15.65501	-2.419416	0.08902018	0	1	0.8100814	0.3005509	7.786405	9.19246
850	-18.94887	-16.10353	-2.845336	0.1075309	0	1	0.8422173	0.3106727	6.446029	8.77942
860	-17.76939	-15.62496	-2.144439	0.0739331	0	1	0.7730721	0.3144383	9.37533	9.479789
870	-25.15861	-21.28165	-3.87696	0.1619902	0	1	0.8950821	0.274442	4.278946	8.309788
880	-18.37728	-16.29877	-2.078516	0.07090015	0	1	0.7639692	0.3139468	9.776385	9.299968
890	-17.3407	-15.59592	-1.744779	0.06398789	0	1	0.740529	0.2603859	10.83247	9.776508
900	-18.29474	-15.86881	-2.425935	0.08690505	0	1	0.8055968	0.3164036	7.975914	9.404693
910	-19.10927	-17.33969	-1.769577	0.06517701	0	1	0.7448545	0.2602726	10.63484	9.351519
920	-17.93369	-15.6317	-2.30199	0.08299251	0	1	0.796751	0.3037174	8.351924	9.427868
930	-20.74061	-17.58792	-3.152693	0.106792	0	1	0.8411384	0.4291365	6.490625	8.512428
940	-22.12077	-17.64135	-4.479429	0.1754562	0	1	0.9031305	0.3767044	3.950543	8.31021
950	-19.02411	-16.13591	-2.8882	0.1090199	0	1	0.8443489	0.3141933	6.35799	8.751007
960	-20.90686	-17.73969	-3.167171	0.1102518	0	1	0.8460705	0.404575	6.286944	8.381893
970	-20.17193	-16.75362	-3.41831	0.1262183	0	1	0.8654174	0.3706168	5.491656	8.93026
980	-18.50433	-16.94154	-1.562787	0.06350709	0	1	0.7387426	0.2192855	10.91448	9.703335
990	-17.33466	-15.39	-1.944653	0.06779803	0	1	0.7539441	0.2932974	10.22371	9.760459
1000	-18.23586	-16.7953	-1.440559	0.06024695	0	1	0.7260272	0.2079561	11.5051	9.990086
1010	-18.08735	-15.85243	-2.234922	0.08078179	0	1	0.7914102	0.2976567	8.580488	9.137512
1020	-18.45975	-15.93533	-2.524421	0.09583835	0	1	0.8232813	0.2888595	7.232462	8.968189
1030	-18.2065	-15.69889	-2.507608	0.09193507	0	1	0.8159481	0.3085719	7.53953	9.10465
1040	-19.18702	-16.96859	-2.218433	0.08308009	0	1	0.7969573	0.2788524	8.34312	9.743172
1050	-17.39881	-15.52383	-1.874976	0.06375747	0	1	0.7396756	0.298047	10.87162	9.867131
1060	-17.18917	-15.34113	-1.848036	0.06804693	0	1	0.7547769	0.264883	10.18631	9.759121
1070	-23.85161	-20.0147	-3.836914	0.1474311	0	1	0.8847326	0.3591131	4.701499	8.053289
1080	-18.35291	-15.81759	-2.535318	0.09524818	0	1	0.8222087	0.2957047	7.277275	9.037256
1090	-19.54192	-16.6879	-2.854021	0.09603004	0	1	0.823627	0.4000033	7.218025	8.902292
1100	-22.26113	-17.25728	-5.003854	0.1891619	0	1	0.9101475	0.475826	3.664307	8.362819
1110	-17.11268	-15.25735	-1.855327	0.06586442	0	1	0.7472964	0.2794693	10.52385	9.940437
1120	-19.16046	-16.84147	-2.318989	0.0816151	0	1	0.793454	0.318087	8.492879	8.877616
1130	-20.95169	-16.90304	-4.048655	0.1494181	0	1	0.8862633	0.4254782	4.638976	8.427438
1140	-21.45545	-17.7028	-3.752656	0.1322279	0	1	0.8715112	0.4557711	5.242065	8.978541
1150	-20.72538	-16.98754	-3.737832	0.1337128	0	1	0.8729336	0.4351356	5.183852	8.814315
1160	-22.71964	-17.36106	-5.35858	0.2070863	0	1	0.917924	0.463785	3.347141	8.329553
1170	-17.23677	-15.3307	-1.906075	0.0697165	0	1	0.7602332	0.2709406	9.942369	9.717642
1180	-18.40002	-16.00241	-2.397605	0.08904297	0	1	0.8101287	0.2939242	7.784412	8.957491
1190	-18.045	-16.50653	-1.538464	0.0643215	0	1	0.7417557	0.2103493	10.77629	9.9385
1200	-19.51693	-16.61215	-2.904776	0.11264	0	1	0.849304	0.2958242	6.15365	8.664281
1210	-19.61626	-17.07972	-2.536549	0.08656463	0	1	0.8048562	0.3559738	8.00728	8.759691
1220	-18.922	-17.36724	-1.554763	0.05665869	0	1	0.7107127	0.251558	12.23373	9.773138
1230	-18.9684	-16.22814	-2.740256	0.101561	0	1	0.8330687	0.3174564	6.824931	8.734518
1240	-19.99729	-17.60448	-2.392812	0.07792849	0	1	0.7841168	0.370324	8.894657	8.878349
1250	-19.3167	-16.87767	-2.439037	0.08114419	0	1	0.7923037	0.3622613	8.542166	8.952357
1260	-19.28342	-16.83996	-2.443461	0.07774418	0	1	0.7836293	0.3910902	8.915744	9.301354
1270	-20.92277	-18.80842	-2.114357	0.05708861	0	1	0.712626	0.4362193	12.1416	9.98551
1280	-19.01227	-16.28992	-2.722345	0.09802038	0	1	0.8271409	0.3361514	7.07146	9.249351
1290	-18.51767	-16.03274	-2.48493	0.08425569	0	1	0.7996887	0.355041	8.226711	9.285832
1300	-18.45309	-16.65269	-1.800402	0.06978181	0	1	0.7604421	0.2434327	9.933063	9.377477
