Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
63	1	-17.4803	-15.87773	-1.602573	0.0774512	0.7828502	0.3394796	8.94947	9.40781
64	0	-17.41025	-16.15682	-1.253425	0.06867308	0.7568494	0.2884546	10.09343	9.395564
65	1	-19.74021	-16.68616	-3.054054	0.1426639	0.8808875	0.3632471	4.858601	8.477502
66	0	-18.67501	-16.9423	-1.732706	0.09365718	0.8192541	0.274145	7.400898	8.76388
67	1	-19.43441	-17.3764	-2.058005	0.08855635	0.8091149	0.4229254	7.827187	8.924695
68	0	-20.18271	-17.19923	-2.983478	0.1317636	0.87106	0.4265849	5.260534	8.398622
69	1	-17.56141	-16.23108	-1.330334	0.07976069	0.7888537	0.2462059	8.690335	9.251428
70	0	-16.40588	-15.28142	-1.124456	0.06655714	0.7497149	0.265196	10.41432	9.861439
71	1	-18.29736	-17.34051	-0.9568475	0.05449243	0.7007248	0.2897079	12.72006	9.83926
72	0	-17.27886	-15.90095	-1.377909	0.0697577	0.760365	0.3192602	9.936497	9.502829
73	1	-17.67871	-15.80534	-1.873372	0.09145161	0.8149991	0.3306715	7.579388	9.043424
74	0	-18.38827	-16.60125	-1.787021	0.08055017	0.7908354	0.3822604	8.605161	9.239082
75	1	-18.81224	-16.22772	-2.584519	0.1194799	0.8578685	0.3714864	5.801369	8.723489
76	0	-17.73554	-15.8281	-1.907439	0.09430765	0.8204734	0.3220115	7.349851	9.163924
77	1	-20.15345	-18.68441	-1.469036	0.06501449	0.744271	0.3867522	10.66143	9.138956
78	0	-16.41659	-15.25994	-1.156647	0.06660652	0.7498857	0.2735848	10.4066	9.944233
79	1	-21.94967	-18.28947	-3.660202	0.1515161	0.8878362	0.5519119	4.574742	8.679643
80	0	-17.89558	-17.01088	-0.8846971	0.06018088	0.7257582	0.2388926	11.51773	9.702104
81	1	-17.14745	-16.07114	-1.07631	0.06186765	0.7324827	0.2791735	11.20371	9.708762
82	0	-16.96821	-15.93958	-1.028624	0.06146339	0.7308979	0.2684666	11.2774	9.770676
83	1	-17.84712	-16.54632	-1.3008	0.06470034	0.7431363	0.3290514	10.71319	9.531808
84	0	-19.65927	-16.9891	-2.670171	0.1159091	0.8535202	0.4365648	5.980092	8.695761
85	1	-17.55401	-15.89876	-1.655249	0.08687208	0.8055253	0.2930022	7.978941	9.021742
86	0	-17.62474	-15.83041	-1.794328	0.08649497	0.804704	0.3394278	8.013728	9.235121
87	1	-23.04183	-20.37367	-2.668156	0.1064142	0.8405809	0.5329376	6.513674	9.568243
88	0	-16.68815	-15.71595	-0.9721987	0.05856048	0.7190115	0.2698593	11.83643	9.991852
89	1	-18.07191	-16.67686	-1.395049	0.06394202	0.7403595	0.3674379	10.84024	9.853181
90	0	-18.08101	-16.1652	-1.915809	0.0887338	0.8094858	0.3654883	7.811535	9.1202
91	1	-17.40626	-15.89324	-1.513014	0.07402317	0.7733325	0.3338187	9.363921	9.750033
92	0	-19.26228	-16.6827	-2.579588	0.1138901	0.8509441	0.4162126	6.086103	8.773924
93	1	-18.12515	-16.61765	-1.507503	0.06994524	0.7609635	0.3619915	9.909854	9.457107
94	0	-17.88692	-16.35423	-1.532697	0.07271293	0.7694887	0.350053	9.532654	9.364656
95	1	-18.8181	-17.27176	-1.546338	0.08594497	0.8034943	0.2679878	8.065011	9.651737
96	0	-24.20363	-22.8371	-1.366536	0.08808337	0.8081196	0.2139545	7.869217	8.61631
97	1	-16.83586	-15.67659	-1.159264	0.06589245	0.7473951	0.27849	10.51937	9.646615
98	0	-21.77993	-18.05593	-3.723999	0.1606726	0.8942224	0.4843871	4.314034	8.886261
99	1	-17.73971	-15.91649	-1.823227	0.09279126	0.8176061	0.3056842	7.469962	8.927788
100	0	-22.70838	-19.33681	-3.371577	0.1631675	0.8958386	0.3229577	4.248071	8.852631
101	1	-19.49707	-17.68939	-1.807677	0.08662368	0.8049851	0.3430507	8.001821	8.633374
102	0	-16.92769	-15.70416	-1.223532	0.07325823	0.7711029	0.2540035	9.461697	9.766622
103	1	-18.22884	-16.82719	-1.401647	0.08076483	0.7913682	0.2588305	8.58229	9.73672
104	0	-20.22146	-18.17054	-2.05092	0.1004843	0.831308	0.3260336	6.898066	9.511626
105	1	-18.34869	-17.0218	-1.326895	0.06576944	0.7469615	0.330175	10.53905	9.350161
106	0	-18.21303	-16.44466	-1.768369	0.08060083	0.7909614	0.3747937	8.599753	9.501086
107	1	-19.68219	-16.84286	-2.839333	0.1382998	0.877137	0.3214906	5.011916	8.589627
108	0	-18.02056	-16.27121	-1.749345	0.09245194	0.8169525	0.2859655	7.497379	9.327425
109	1	-21.31	-18.37672	-2.933278	0.122396	0.8612354	0.4949184	5.663154	8.370906
110	0	-17.40509	-16.38748	-1.017618	0.06944989	0.7593767	0.2241346	9.980537	9.947228
111	1	-18.95826	-16.895	-2.06326	0.09890135	0.8286535	0.3413573	7.00847	9.368742
112	0	-17.53603	-16.53347	-1.002563	0.06677055	0.7504515	0.2337022	10.38103	9.555401
113	1	-19.51321	-17.01937	-2.493841	0.1207168	0.8593161	0.3304937	5.741928	8.45603
114	0	-17.61119	-16.29144	-1.319747	0.06824247	0.7554275	0.3110636	10.15712	9.397257
115	1	-17.55236	-15.71364	-1.838722	0.09260406	0.8172461	0.3116935	7.485063	9.112908
116	0	-17.19282	-16.15183	-1.040998	0.07001374	0.7611814	0.2267079	9.90016	9.834125
117	1	-18.01527	-16.05742	-1.957849	0.09156372	0.81522	0.3589645	7.570108	9.154063
118	0	-18.13381	-15.95379	-2.18002	0.1040965	0.8370771	0.3435903	6.6587	8.92582
119	1	-17.53188	-16.60219	-0.9296942	0.06528421	0.7452381	0.2242404	10.61738	9.66609
120	0	-16.88056	-15.94509	-0.9354687	0.06555039	0.7461861	0.2242687	10.57426	9.916104
121	1	-17.41071	-16.04714	-1.36357	0.06636801	0.7490587	0.3381861	10.444	9.750834
122	0	-18.60885	-16.76708	-1.841773	0.08813918	0.8082376	0.3437161	7.864235	9.594027
123	1	-17.96276	-16.09201	-1.870755	0.09456923	0.8209593	0.3086946	7.329522	9.270215
124	0	-18.37146	-16.4731	-1.898359	0.09391625	0.8197416	0.3217622	7.380482	9.392583
125	1	-17.1614	-15.71371	-1.447682	0.07975421	0.7888373	0.2768993	8.691041	9.242075
126	0	-17.14631	-15.5843	-1.562008	0.07975859	0.7888484	0.3104077	8.690565	9.326096
127	1	-17.29618	-15.63402	-1.662154	0.0838715	0.7988038	0.3144284	8.264395	9.357099
128	0	-19.79237	-17.55943	-2.232936	0.09665288	0.8247413	0.4242481	7.171511	8.660982
129	1	-20.53122	-17.87244	-2.658776	0.1105168	0.8464359	0.4839431	6.271874	8.925162
130	0	-18.09337	-16.61073	-1.482637	0.07120421	0.7649118	0.3437929	9.734638	9.2868
131	1	-18.05932	-15.94961	-2.109711	0.1002263	0.8308808	0.3476739	6.91582	8.946577
132	0	-17.18498	-15.82486	-1.360121	0.07679946	0.7810982	0.2701	9.025418	9.278634
