Iteration	Posterior	Likelihood	Prior	sigma2
1260	-13.08587	-14.90705	1.821172	0.040459
1270	-12.9697	-14.91235	1.942654	0.03583076
1280	-13.34748	-15.03284	1.685362	0.04634434
1290	-13.30213	-15.00694	1.704817	0.04545141
1300	-12.95929	-14.93494	1.975646	0.03466794
1310	-13.0156	-14.89479	1.879187	0.03817856
1320	-13.07205	-15.22223	2.150188	0.02911557
1330	-12.98051	-15.04582	2.065315	0.03169458
1340	-13.46472	-15.10402	1.639302	0.04852886
1350	-12.98407	-14.90131	1.917239	0.03675307
1360	-13.48504	-15.80379	2.318744	0.02459927
1370	-13.11782	-15.29561	2.177786	0.02832302
1380	-12.95795	-14.94452	1.986568	0.03429133
1390	-13.15048	-14.93094	1.780458	0.04214022
1400	-13.41553	-15.07351	1.65798	0.04763084
1410	-13.08023	-14.90538	1.825146	0.04029852
1420	-13.04785	-15.18105	2.133192	0.02961464
1430	-13.0087	-14.89512	1.886426	0.03790319
1440	-13.03519	-14.89585	1.860656	0.03889265
1450	-12.96946	-15.01515	2.045688	0.0323228
1460	-13.07876	-15.23332	2.15456	0.02898856
1470	-14.88522	-16.14572	1.260501	0.07087796
1480	-14.25957	-15.66369	1.404123	0.06139557
1490	-13.04095	-14.8966	1.855647	0.03908794
1500	-12.96067	-14.98139	2.020713	0.03314021
1510	-13.12452	-15.30598	2.181456	0.02821928
1520	-13.3993	-15.69191	2.292611	0.02525059
1530	-16.4714	-17.43097	0.9595711	0.09576429
1540	-13.03472	-14.89579	1.86107	0.03887653
1550	-13.34584	-15.03188	1.686047	0.04631261
1560	-14.78247	-17.35314	2.570674	0.01912099
1570	-12.99801	-15.08612	2.088109	0.03098033
1580	-14.00901	-15.47823	1.469221	0.05752615
1590	-13.78405	-15.31745	1.533407	0.05394982
1600	-13.00918	-15.10919	2.100011	0.03061378
1610	-13.00821	-15.10725	2.099039	0.03064353
1620	-13.32295	-15.0187	1.69575	0.0458654
1630	-13.24758	-15.48598	2.2384	0.02665725
1640	-13.31077	-15.0118	1.701021	0.04562426
1650	-12.99885	-14.89647	1.897625	0.03748106
1660	-13.34528	-15.03156	1.686281	0.04630175
1670	-13.50786	-15.13143	1.623573	0.04929821
1680	-13.13052	-15.31519	2.184671	0.02812869
1690	-13.89704	-16.3165	2.419465	0.0222423
1700	-13.61741	-15.97222	2.354816	0.02372774
1710	-14.87075	-16.13435	1.263596	0.07065896
1720	-14.9368	-16.18634	1.249539	0.07165923
1730	-14.04535	-15.50476	1.459415	0.05809304
1740	-13.19141	-14.94936	1.757947	0.04309961
1750	-12.9583	-14.94105	1.982757	0.03442229
1760	-12.98475	-14.90098	1.916226	0.03679033
1770	-15.18892	-16.38635	1.197429	0.07549239
1780	-14.15135	-16.62059	2.469242	0.02116225
1790	-13.01164	-15.11409	2.10245	0.0305392
1800	-15.47538	-16.61618	1.140796	0.07989112
