Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	p_th	sigma2	t_half	theta
58	0	-20.4712	-18.62933	-1.841862	0.0688626	0	1	0.7574704	0.2587354	10.06566	9.062186
59	1	-20.21253	-16.77881	-3.433719	0.1329714	0	1	0.8722274	0.3261236	5.212753	8.528008
60	0	-17.81744	-15.8405	-1.976942	0.07663847	0	1	0.7806614	0.2511079	9.044377	9.609054
61	1	-18.18319	-16.48019	-1.702992	0.06127208	0	1	0.7301421	0.2645438	11.31261	9.658534
62	0	-18.15585	-16.07015	-2.085704	0.08136287	0	1	0.7928393	0.2532539	8.519208	9.490419
63	1	-17.66538	-15.60061	-2.064765	0.0729782	0	1	0.7702765	0.296301	9.498003	9.440685
64	0	-18.16335	-15.68594	-2.477409	0.09110686	0	1	0.8143167	0.3047009	7.608068	9.127243
65	1	-19.60069	-17.69106	-1.909633	0.0601285	0	1	0.7255446	0.333257	11.52777	9.471447
66	0	-19.76209	-17.08103	-2.681061	0.0968774	0	1	0.8251396	0.3304754	7.15489	8.590802
67	1	-18.34408	-15.97929	-2.364786	0.08053708	0	1	0.7908028	0.3406986	8.60656	9.545908
68	0	-18.37063	-15.98434	-2.386286	0.0878837	0	1	0.8076965	0.2978537	7.887096	9.415336
69	1	-19.3613	-16.29939	-3.061914	0.1091946	0	1	0.8445953	0.3724173	6.347818	8.975614
70	0	-17.5506	-15.73424	-1.816369	0.0669918	0	1	0.7512112	0.2624369	10.34675	9.607059
71	1	-19.28965	-16.70939	-2.580256	0.08392486	0	1	0.7989271	0.3933027	8.25914	9.390103
72	0	-17.93222	-15.74963	-2.182586	0.07622729	0	1	0.7795384	0.3111427	9.093163	9.310704
73	1	-21.78372	-18.78949	-2.994223	0.1156562	0	1	0.8532023	0.3034474	5.993169	9.244739
74	0	-17.55382	-15.74172	-1.812098	0.06917866	0	1	0.7584997	0.2494692	10.01967	9.593076
75	1	-21.35989	-16.97322	-4.386662	0.1710579	0	1	0.9006408	0.3769166	4.052119	8.573743
76	0	-17.5272	-15.99484	-1.532365	0.06077159	0	1	0.7281469	0.2254278	11.40578	9.98823
77	1	-20.42556	-17.25107	-3.174495	0.1165224	0	1	0.8542855	0.3567731	5.948619	8.402491
78	0	-17.89764	-16.11954	-1.778101	0.06334166	0	1	0.7381228	0.2729256	10.94299	9.630567
79	1	-17.7594	-15.78489	-1.974506	0.07150678	0	1	0.7658429	0.279315	9.693447	9.408382
80	0	-21.0405	-18.72474	-2.315758	0.06418992	0	1	0.7412731	0.4589111	10.79838	9.971851
81	1	-18.82394	-16.62737	-2.196571	0.06850933	0	1	0.7563105	0.371672	10.11756	9.666562
82	0	-18.97085	-17.32745	-1.643409	0.06207065	0	1	0.7332722	0.2450538	11.16707	9.53715
83	1	-17.91846	-15.67962	-2.238834	0.08211498	0	1	0.7946621	0.2904882	8.441178	9.48925
84	0	-19.39398	-16.3948	-2.999177	0.1070358	0	1	0.8414959	0.3661665	6.475847	9.071201
85	1	-17.67161	-15.60609	-2.065514	0.07047081	0	1	0.7626264	0.3127273	9.835947	9.611964
86	0	-20.50982	-19.10035	-1.409471	0.05648006	0	1	0.7099111	0.2183659	12.27242	9.727082
87	1	-18.02137	-15.63649	-2.384875	0.08667597	0	1	0.805099	0.3051551	7.996993	9.157052
88	0	-19.15131	-16.16562	-2.985697	0.1059199	0	1	0.839846	0.3699203	6.544072	8.8493
89	1	-18.7146	-16.10758	-2.607021	0.0934393	0	1	0.8188421	0.3301175	7.418155	9.301415
90	0	-19.36201	-16.70517	-2.656841	0.09057009	0	1	0.8132445	0.3687624	7.653158	8.810281
91	1	-18.02776	-16.03489	-1.992873	0.07225722	0	1	0.7681235	0.2799981	9.592774	9.313248
92	0	-19.14217	-16.64626	-2.495915	0.09247971	0	1	0.8170061	0.3014804	7.495127	9.444302
93	1	-17.75801	-15.51417	-2.243844	0.08074071	0	1	0.7913085	0.3005863	8.584854	9.392611
94	0	-20.58923	-18.34078	-2.248456	0.08470684	0	1	0.8007186	0.2776012	8.182895	9.860255
95	1	-17.23357	-15.31396	-1.919609	0.069138	0	1	0.7583678	0.2780246	10.02556	9.849865
96	0	-19.96662	-16.80205	-3.164576	0.1082438	0	1	0.843245	0.4210927	6.403575	8.856807
97	1	-18.45585	-16.27426	-2.181585	0.08583223	0	1	0.8032446	0.2535179	8.075605	9.119311
98	0	-19.89143	-18.19512	-1.696311	0.07424394	0	1	0.7739686	0.1995497	9.336078	9.482722
99	1	-18.37355	-16.15631	-2.217239	0.07323956	0	1	0.7710479	0.343197	9.46411	9.861543
100	0	-17.33274	-15.3746	-1.958144	0.06793258	0	1	0.7543949	0.2964336	10.20346	9.845906
101	1	-19.15909	-16.89413	-2.264969	0.06961118	0	1	0.7598955	0.3887855	9.957411	9.797012
102	0	-18.5491	-16.17164	-2.377458	0.07976091	0	1	0.7888542	0.3507733	8.690312	9.604075
103	1	-18.92011	-16.99688	-1.923229	0.07922237	0	1	0.7874822	0.2252788	8.749387	9.279208
104	0	-19.34123	-16.73816	-2.603062	0.09419771	0	1	0.8202684	0.3235636	7.358429	8.687395
105	1	-18.76804	-15.94145	-2.826581	0.1052611	0	1	0.8388562	0.3199455	6.585029	8.868
106	0	-19.8926	-16.67024	-3.222358	0.1128658	0	1	0.8496028	0.404461	6.141339	8.957679
107	1	-19.29135	-17.38403	-1.907323	0.07614485	0	1	0.7793119	0.236687	9.103009	9.906357
108	0	-17.08787	-15.28034	-1.807532	0.06530186	0	1	0.7453012	0.2696258	10.61451	9.879945
109	1	-20.4204	-18.46017	-1.960223	0.06376819	0	1	0.7397154	0.324495	10.86979	9.138836
110	0	-18.45418	-16.40459	-2.049591	0.06520354	0	1	0.7449496	0.3441852	10.63051	9.652801
111	1	-18.57537	-16.34846	-2.22691	0.08576099	0	1	0.8030865	0.2656742	8.082313	9.00513
112	0	-23.67155	-21.29231	-2.379237	0.06813726	0	1	0.7550778	0.4496966	10.17281	8.59457
113	1	-19.83291	-16.60238	-3.230524	0.1141602	0	1	0.8512939	0.3967292	6.071704	8.955647
114	0	-18.19431	-15.83747	-2.356837	0.08167279	0	1	0.7935941	0.3299527	8.48688	9.202494
115	1	-18.90879	-16.13364	-2.775153	0.09651222	0	1	0.8244908	0.3659046	7.181963	9.073001
