Iteration	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
8980	-19.63926	-18.23657	-1.402699	0.06175519	0.7320435	0.3878465	11.22411	9.437979
8990	-17.97859	-16.87554	-1.103052	0.07480078	0.7755584	0.2179216	9.266577	9.506254
9000	-19.11176	-17.35965	-1.752109	0.07618957	0.7794348	0.4049332	9.097665	9.20482
9010	-20.56724	-16.95403	-3.61321	0.1622593	0.895256	0.4192328	4.271849	8.393247
9020	-18.04073	-16.00015	-2.040586	0.0960508	0.8236643	0.354513	7.216464	9.063915
9030	-16.84242	-15.57146	-1.27096	0.06770413	0.7536286	0.2996557	10.23789	9.66054
9040	-17.87698	-15.99991	-1.877072	0.08841674	0.8088221	0.3539746	7.839547	9.204223
9050	-19.18148	-16.83736	-2.344113	0.1025308	0.8346241	0.418538	6.760383	8.89029
9060	-16.64706	-15.62426	-1.022797	0.05968234	0.7237132	0.2771872	11.61394	9.965256
9070	-16.97713	-15.98887	-0.9882682	0.0586647	0.7194542	0.273625	11.81541	9.901805
9080	-20.82782	-18.4848	-2.343026	0.09657682	0.8246059	0.4743866	7.177159	8.632314
9090	-18.82343	-16.90898	-1.914449	0.09940554	0.8295077	0.2910283	6.972923	8.662476
9100	-20.58074	-18.02407	-2.556671	0.1310494	0.8703596	0.2826364	5.289207	8.499162
9110	-18.2532	-16.73458	-1.518618	0.08936932	0.8108028	0.2423923	7.755986	9.207495
9120	-17.60675	-16.44071	-1.166041	0.05802138	0.7167019	0.3313523	11.94641	9.979814
9130	-16.70585	-15.49073	-1.215122	0.07074377	0.7634817	0.2656807	9.797995	9.873326
9140	-17.87032	-16.1155	-1.754816	0.08313748	0.7970923	0.3503719	8.337361	9.484819
9150	-16.84366	-15.53504	-1.308627	0.07519276	0.7766652	0.265441	9.21827	9.473424
9160	-18.37275	-16.2172	-2.155554	0.1023647	0.8343598	0.3478363	6.77135	8.740582
9170	-16.72227	-15.44127	-1.281004	0.07100105	0.7642827	0.2822287	9.762492	9.571588
9180	-20.38302	-18.06903	-2.313992	0.09606475	0.8236894	0.4658458	7.215417	9.301143
9190	-20.39034	-17.79496	-2.59538	0.1087516	0.843969	0.4715512	6.373673	8.662752
9200	-16.98329	-15.5747	-1.408594	0.07245697	0.7687237	0.3108819	9.566328	9.546653
9210	-23.54608	-19.12993	-4.416151	0.2029371	0.916246	0.3947232	3.415576	8.819956
9220	-19.71389	-18.36822	-1.345677	0.07940275	0.7879436	0.2519187	8.729511	8.864975
9230	-18.93882	-17.37483	-1.563987	0.06942886	0.7593089	0.387247	9.98356	9.344994
9240	-16.60759	-15.43496	-1.172637	0.06344881	0.7385245	0.2972605	10.92451	9.950417
9250	-16.76035	-15.66559	-1.094765	0.06064955	0.7276564	0.2918199	11.42873	9.928887
9260	-18.15664	-15.96033	-2.196312	0.1048542	0.838239	0.343663	6.610578	8.886579
9270	-16.88117	-15.52286	-1.358315	0.07654508	0.7804073	0.2710719	9.055411	9.429817
9280	-19.10478	-17.10185	-2.00293	0.1052406	0.8388253	0.2809229	6.586307	8.638074
9290	-17.87273	-15.92237	-1.950361	0.09428762	0.8204361	0.3362767	7.351412	8.942032
9300	-18.60886	-17.71078	-0.8980798	0.0611433	0.7296312	0.2372168	11.33644	9.559409
9310	-18.03648	-16.24781	-1.788671	0.09288057	0.8177774	0.2947423	7.462779	9.334427
9320	-18.04612	-16.29343	-1.752696	0.08056549	0.7908735	0.3692422	8.603524	9.387812
9330	-17.38777	-15.68997	-1.697799	0.08430283	0.7997968	0.3228696	8.22211	9.21891
9340	-19.13957	-17.2879	-1.851674	0.08153877	0.7932684	0.3993257	8.500829	8.99025
9350	-17.39969	-15.82204	-1.577647	0.0809328	0.7917834	0.3075413	8.564477	9.59228
9360	-16.54839	-15.62058	-0.9278173	0.0596683	0.7236552	0.2521467	11.61667	9.990764
9370	-20.76667	-17.43362	-3.33305	0.1420782	0.8803974	0.4861458	4.878631	8.523736
9380	-20.36529	-16.86569	-3.499598	0.1591747	0.8932277	0.3995225	4.354633	8.690482
9390	-20.03694	-17.83388	-2.20306	0.1129255	0.8496816	0.2915285	6.138093	9.147864
9400	-19.83299	-16.63062	-3.202379	0.1461552	0.8837279	0.3912411	4.742543	8.699388
9410	-17.08558	-15.65999	-1.425591	0.07742936	0.7827919	0.2845462	8.951994	9.666351
9420	-18.22701	-16.21587	-2.011135	0.1010452	0.8322296	0.3096097	6.859773	9.149493
9430	-19.77268	-17.03914	-2.733537	0.1351406	0.8742723	0.3092687	5.129081	8.567859
9440	-18.31288	-16.75798	-1.554895	0.0759454	0.7787623	0.3341834	9.126915	9.053862
9450	-18.54101	-17.03841	-1.502597	0.07507364	0.7763299	0.3230768	9.232897	9.003245
9460	-18.62335	-16.64227	-1.981081	0.09091258	0.81393	0.3725133	7.624327	9.416956
9470	-16.71162	-15.59017	-1.121454	0.06187368	0.7325062	0.2920281	11.20262	9.897301
9480	-18.163	-16.57463	-1.588373	0.07837593	0.7852918	0.3281895	8.843878	9.877006
9490	-17.46192	-15.73093	-1.730993	0.09077374	0.8136527	0.2909439	7.635988	9.140503
9500	-17.71467	-16.06742	-1.647247	0.0905589	0.8132221	0.2687934	7.654103	9.220259
9510	-17.2368	-15.75973	-1.477071	0.08304488	0.7968744	0.2659251	8.346658	9.343235
9520	-17.47384	-16.23426	-1.239586	0.06137161	0.7305358	0.3321664	11.29426	9.863551
9530	-20.03742	-18.48735	-1.550068	0.08563478	0.8028058	0.2707659	8.094225	8.672541
9540	-17.2184	-16.03516	-1.183245	0.07410576	0.7735709	0.2396254	9.353485	9.71734
9550	-19.07302	-16.33095	-2.742072	0.1296676	0.8689831	0.3503327	5.34557	8.633433
9560	-18.44173	-16.51285	-1.928873	0.09196587	0.8160083	0.3457493	7.537005	9.432663
9570	-17.29698	-15.82302	-1.473955	0.07876842	0.7863127	0.2902798	8.79981	9.194437
9580	-18.7424	-16.93227	-1.810122	0.07930779	0.7877009	0.4016441	8.739964	9.372881
9590	-18.13402	-16.03073	-2.103282	0.1048175	0.838183	0.3133785	6.612896	8.804369
9600	-17.14509	-15.74209	-1.403002	0.07092178	0.7640365	0.319385	9.773403	9.545299
9610	-20.81196	-18.2846	-2.52736	0.1048977	0.8383052	0.4780845	6.607838	9.235966
9620	-17.75643	-16.31899	-1.437439	0.07618775	0.7794298	0.2956248	9.097882	9.920454
9630	-17.30059	-15.86254	-1.438047	0.07554473	0.7776505	0.2998684	9.175321	9.822582
9640	-20.29804	-18.44381	-1.854235	0.08594672	0.8034982	0.3646004	8.064847	8.531914
9650	-16.51607	-15.35469	-1.161381	0.0682759	0.7555385	0.2653161	10.15215	9.929667
9660	-18.34821	-16.78999	-1.558215	0.08918587	0.8104244	0.2531664	7.771939	9.38014
9670	-18.86355	-17.39245	-1.471101	0.06368332	0.7393999	0.3986549	10.88428	9.844932
9680	-17.57709	-15.73303	-1.844064	0.09102762	0.8141592	0.3240231	7.614691	9.097578
9690	-17.12109	-15.71145	-1.409638	0.07076606	0.7635513	0.3225758	9.79491	9.8372
9700	-18.52739	-16.70548	-1.821913	0.09664282	0.8247234	0.2813244	7.172257	8.753565
9710	-16.94754	-15.4929	-1.454632	0.07765023	0.7833801	0.2915613	8.926531	9.384889
9720	-17.34723	-15.63083	-1.716402	0.0866687	0.8050832	0.3128263	7.997665	9.208214
9730	-19.78896	-17.25624	-2.532716	0.1119156	0.8483372	0.4141487	6.193484	8.494773
9740	-21.94439	-18.63849	-3.305904	0.1398333	0.8784813	0.49621	4.956954	8.185371
9750	-19.16788	-17.36787	-1.800003	0.08793852	0.8078129	0.3310614	7.88218	9.720265
9760	-22.31471	-18.98445	-3.330263	0.158116	0.8925134	0.34495	4.383788	8.186151
9770	-20.4569	-18.56246	-1.894442	0.09004971	0.8121938	0.3479098	7.697383	8.45185
9780	-16.77175	-15.52906	-1.242686	0.07223404	0.7680537	0.2646043	9.595853	9.803789
9790	-20.5	-19.00083	-1.499168	0.07142597	0.7655949	0.3478823	9.704415	8.779612
9800	-16.59159	-15.38864	-1.202945	0.06492991	0.7439664	0.2969275	10.67531	9.931277
9810	-18.88449	-16.59402	-2.290469	0.1162417	0.8539363	0.2965384	5.96298	8.684465
9820	-19.65349	-18.04035	-1.613145	0.09636367	0.8242255	0.2296748	7.193034	8.926472
9830	-17.08598	-15.79785	-1.288134	0.07071825	0.763402	0.2859589	9.801532	9.426033
9840	-16.87604	-15.71086	-1.165178	0.07159945	0.7661268	0.2481897	9.680901	9.565113
9850	-19.68684	-17.43034	-2.256498	0.09679795	0.8249988	0.4330281	7.160763	9.271218
9860	-16.582	-15.33837	-1.243625	0.06813118	0.7550576	0.2889451	10.17372	9.897822
9870	-17.80585	-16.4929	-1.312953	0.0713672	0.7654142	0.289136	9.712405	9.226428
9880	-16.53604	-15.40859	-1.127454	0.06860608	0.7566291	0.254675	10.10329	9.775056
9890	-17.55589	-16.0754	-1.480488	0.08479262	0.8009133	0.2571205	8.174617	9.171569
9900	-17.926	-16.79764	-1.128362	0.05936272	0.7223879	0.3101452	11.67647	9.684875
9910	-19.15934	-17.30649	-1.85285	0.07971354	0.7887342	0.4155838	8.695476	9.221636
9920	-19.62905	-16.67814	-2.95091	0.1352329	0.8743579	0.38361	5.125582	8.817167
9930	-16.70888	-15.71313	-0.9957479	0.06616603	0.7483546	0.2351116	10.47588	9.830239
9940	-18.0109	-16.46624	-1.54466	0.07085874	0.7638403	0.3684824	9.782099	9.633534
9950	-19.76603	-17.19653	-2.5695	0.1137721	0.8507908	0.4130682	6.092416	8.489818
9960	-18.38068	-16.75358	-1.627101	0.08517019	0.801766	0.2953455	8.138378	8.844325
9970	-18.94359	-16.93511	-2.008479	0.09550651	0.8226797	0.3472993	7.257591	8.634498
9980	-17.12684	-16.09113	-1.035713	0.06975104	0.7603437	0.2267736	9.937446	9.74393
9990	-20.30988	-18.33499	-1.974899	0.08631315	0.8043057	0.4081724	8.030609	8.606751
10000	-17.30122	-15.92702	-1.374194	0.07597388	0.7788409	0.2787692	9.123493	9.243114
10010	-18.64715	-16.90085	-1.746303	0.08385438	0.7987641	0.3421569	8.266082	9.749035
10020	-25.02891	-21.06616	-3.962742	0.1555088	0.8907129	0.6862242	4.457286	8.108089
10030	-21.74866	-19.14426	-2.604395	0.1058482	0.8397388	0.5060595	6.548505	9.3608
10040	-19.79088	-17.0019	-2.78898	0.1272061	0.866458	0.3868454	5.44901	8.970395
10050	-20.33656	-17.94304	-2.393519	0.09885971	0.8285825	0.4753603	7.011423	9.025853
10060	-21.61105	-18.26822	-3.342832	0.163356	0.8959587	0.3125537	4.243169	8.650152
10070	-17.93207	-16.09335	-1.838722	0.09265687	0.8173478	0.3113444	7.480796	8.863384
10080	-17.58113	-15.79004	-1.791095	0.08817365	0.8083104	0.3264924	7.86116	9.078524
10090	-18.13846	-16.13817	-2.000287	0.09317864	0.8183469	0.3619091	7.438907	9.186623
10100	-16.70314	-15.76519	-0.9379442	0.06435786	0.7418888	0.2305864	10.7702	9.906435
10110	-16.70148	-15.36952	-1.33196	0.0731794	0.7708708	0.2835672	9.471889	9.614052
10120	-19.14312	-17.14802	-1.995097	0.08590398	0.8034036	0.4201329	8.06886	9.232098
10130	-18.7716	-16.28164	-2.489961	0.1213716	0.8600707	0.3246714	5.710951	8.743899
10140	-18.10598	-17.10419	-1.001794	0.05421464	0.6994006	0.304818	12.78524	9.921984
10150	-16.80888	-15.55929	-1.249587	0.0660818	0.7480598	0.3035927	10.48923	9.765679
10160	-17.61853	-15.94341	-1.675122	0.08039096	0.7904386	0.3429489	8.622203	9.498272
10170	-21.52452	-18.7245	-2.800025	0.1212473	0.8599281	0.4438621	5.716804	8.181547
10180	-20.8561	-19.71418	-1.141918	0.05567216	0.7062372	0.3399879	12.45052	9.318373
10190	-19.9522	-16.62841	-3.323794	0.1491711	0.8860752	0.4143628	4.646659	8.593383
10200	-19.29748	-16.97289	-2.324586	0.1116707	0.8480077	0.3380828	6.207064	8.486403
10210	-17.68092	-16.26815	-1.412776	0.08323081	0.7973114	0.2483837	8.328012	9.191358
10220	-18.08687	-16.79492	-1.291945	0.07531432	0.7770064	0.2603771	9.203391	9.127569
10230	-18.29619	-16.69174	-1.604454	0.09129471	0.8146892	0.2535438	7.592414	9.280444
10240	-17.50805	-16.10832	-1.399731	0.07920502	0.7874377	0.2670287	8.751303	9.159143
10250	-23.46095	-21.26053	-2.200419	0.07896768	0.7868275	0.5976949	8.777606	9.384502
10260	-19.89227	-16.59929	-3.292981	0.1504465	0.8870397	0.3910616	4.607268	8.521635
10270	-17.93906	-16.15607	-1.782991	0.08451533	0.8002827	0.3499996	8.201437	9.073305
10280	-16.96737	-15.77009	-1.197283	0.06447578	0.7423196	0.29811	10.7505	9.70542
10290	-17.70767	-15.94836	-1.75931	0.09108982	0.8142829	0.2972995	7.609491	9.302954
10300	-22.78528	-17.98649	-4.798788	0.2167621	0.9215875	0.4315818	3.197732	8.700865
10310	-18.79478	-17.26302	-1.531764	0.06791664	0.7543416	0.387195	10.20585	9.475413
10320	-20.76539	-19.08217	-1.683218	0.08754099	0.8069662	0.2970659	7.917973	9.897467
10330	-19.10844	-17.59651	-1.51193	0.06429484	0.7416581	0.4099145	10.78076	9.856592
10340	-18.08561	-16.40817	-1.677438	0.08209996	0.794626	0.3315018	8.442723	9.700821
10350	-17.45839	-16.0682	-1.39019	0.07001289	0.7611788	0.3214597	9.900279	9.431286
10360	-19.90917	-18.92552	-0.983651	0.04910574	0.6731252	0.3336132	14.1154	9.926715
10370	-18.04784	-15.99154	-2.056305	0.09718449	0.8256817	0.3515692	7.132282	9.074734
10380	-17.12846	-16.06449	-1.063966	0.07010167	0.7614607	0.2315427	9.887742	9.62689
10390	-19.21716	-16.87318	-2.343983	0.1196783	0.8581027	0.290838	5.791752	8.653441
10400	-18.14644	-16.89279	-1.25365	0.07977284	0.7888844	0.2279729	8.689013	9.545087
10410	-16.95038	-15.85538	-1.095001	0.0601246	0.7255287	0.2951583	11.52851	9.892161
10420	-17.47915	-16.51073	-0.9684257	0.05981304	0.7242519	0.2617914	11.58856	9.730238
10430	-20.34688	-17.5357	-2.811176	0.1201428	0.8586479	0.4594835	5.769361	8.508352
10440	-19.71307	-18.67313	-1.039938	0.07666298	0.780728	0.1966658	9.041486	9.583255
10450	-19.86961	-17.35262	-2.516993	0.1241182	0.863151	0.314682	5.584573	8.984195
10460	-18.18327	-17.17216	-1.011114	0.05652202	0.7100998	0.2929705	12.26331	9.746431
10470	-18.74958	-16.9234	-1.826173	0.08566792	0.8028796	0.3566148	8.091094	8.81573
10480	-18.36381	-16.98654	-1.377274	0.06159431	0.7314129	0.3794028	11.25343	9.998335
10490	-18.70314	-16.62555	-2.077594	0.1088002	0.844038	0.2806789	6.370828	8.937936
10500	-17.92769	-16.69106	-1.236631	0.07911736	0.7872127	0.2272649	8.761	9.454343
10510	-18.68977	-17.19104	-1.49873	0.08857534	0.8091546	0.2416565	7.82551	8.964427
10520	-17.89173	-16.02868	-1.863046	0.08975668	0.8115971	0.3392597	7.722514	9.337044
10530	-18.08425	-16.14837	-1.935888	0.09967383	0.8299589	0.2956471	6.954154	8.822258
10540	-18.53692	-17.22993	-1.30699	0.07929501	0.7876682	0.2429135	8.741371	9.778988
10550	-17.34084	-15.86307	-1.477764	0.08276625	0.7962163	0.2676875	8.374756	9.183938
10560	-19.05309	-16.38035	-2.672739	0.1263248	0.8655304	0.3508941	5.487025	8.581757
10570	-17.1017	-15.64136	-1.460343	0.07327468	0.7711513	0.3217611	9.459572	9.617982
10580	-19.21588	-16.36644	-2.849443	0.1311285	0.8704376	0.378136	5.286016	8.61671
10590	-18.67672	-16.57604	-2.100684	0.1094713	0.8449841	0.2831739	6.331773	8.765237
10600	-19.59194	-18.08585	-1.506087	0.07721801	0.7822264	0.3097845	8.976497	8.781215
10610	-19.70476	-17.91194	-1.792827	0.07845697	0.7855033	0.4019495	8.834744	8.894241
10620	-16.59842	-15.33351	-1.264914	0.06995628	0.7609987	0.2839497	9.90829	9.710626
10630	-16.63862	-15.36722	-1.2714	0.06858299	0.7565532	0.2942484	10.10669	9.782678
10640	-22.23323	-18.96745	-3.26578	0.1317543	0.8710509	0.5658399	5.260907	8.486695
10650	-19.76428	-18.78203	-0.9822492	0.05559617	0.7058874	0.2902822	12.46753	9.515329
10660	-18.75027	-17.72378	-1.026491	0.05252924	0.6911451	0.3238159	13.19545	9.926989
10670	-17.00225	-15.50364	-1.498609	0.07985208	0.7890849	0.2907616	8.68039	9.349118
10680	-17.55538	-16.30953	-1.245857	0.06514854	0.7447525	0.3085119	10.63949	9.519023
10690	-17.96868	-17.02066	-0.9480183	0.06973723	0.7602995	0.2077946	9.939414	9.775862
10700	-18.35263	-16.59397	-1.758658	0.09353099	0.8190157	0.2821073	7.410883	8.79813
10710	-18.36194	-16.39506	-1.966873	0.09259647	0.8172314	0.3543669	7.485676	8.825467
10720	-18.87227	-16.93512	-1.937155	0.09413194	0.8201456	0.3329632	7.363571	8.648584
10730	-19.1983	-16.81091	-2.387395	0.1070169	0.8414682	0.3973643	6.476988	8.628639
10740	-19.6964	-18.41727	-1.279129	0.06338809	0.738297	0.3310895	10.93497	9.163814
10750	-20.19493	-17.25146	-2.943462	0.1276313	0.8669011	0.4474133	5.430855	8.891925
10760	-17.57846	-15.72098	-1.857479	0.09285268	0.817724	0.3159238	7.465021	9.082608
10770	-21.8396	-18.43692	-3.402683	0.1664748	0.8979067	0.3105819	4.163677	8.627372
10780	-17.06876	-15.70085	-1.367914	0.06923559	0.7586843	0.3196063	10.01143	9.655416
10790	-18.63359	-16.7263	-1.907284	0.0845116	0.8002742	0.3963525	8.2018	9.322297
10800	-22.47302	-21.312	-1.161027	0.04921063	0.6737037	0.397475	14.08531	9.4771
10810	-20.36302	-19.46656	-0.8964578	0.05467908	0.7016088	0.2716523	12.67664	9.516724
10820	-20.70533	-19.15676	-1.548568	0.07256468	0.7690462	0.3567734	9.552129	8.723225
10830	-21.83564	-19.60945	-2.22619	0.08870095	0.8094172	0.4988532	7.814428	8.5868
10840	-19.88804	-17.0637	-2.824336	0.129927	0.8692438	0.3782828	5.334896	8.383657
10850	-18.08487	-16.55569	-1.529181	0.07967973	0.7886485	0.3008864	8.699165	8.981992
10860	-20.48459	-17.25388	-3.230701	0.1536995	0.8894278	0.3429404	4.509756	8.719111
10870	-17.53213	-15.87506	-1.657067	0.08460943	0.8004971	0.3079727	8.192316	9.487414
10880	-16.64928	-15.48036	-1.16892	0.0687217	0.757009	0.2648069	10.08629	9.984457
10890	-17.25603	-15.79166	-1.46437	0.07641757	0.7800594	0.3022169	9.070521	9.758529
10900	-17.35907	-16.32805	-1.031016	0.05820636	0.7174981	0.2883666	11.90844	9.842121
10910	-16.72699	-15.70781	-1.019174	0.06073103	0.7279841	0.2701067	11.41339	9.876091
10920	-17.27565	-15.59877	-1.676885	0.08607167	0.8037742	0.3045393	8.05314	9.233332
10930	-16.92213	-15.7989	-1.123228	0.06142554	0.7307486	0.2953418	11.28435	9.841517
10940	-19.46151	-17.35885	-2.102655	0.08940594	0.8108782	0.4343355	7.752809	9.208813
10950	-17.16426	-15.90901	-1.255251	0.07437519	0.7743452	0.256048	9.319603	9.367132
10960	-17.34849	-15.96642	-1.382064	0.0670536	0.7514226	0.3395233	10.33721	9.865153
10970	-18.15738	-16.37108	-1.786301	0.08541456	0.8023142	0.3445228	8.115094	9.560584
10980	-17.36846	-16.28258	-1.085884	0.07137774	0.7654466	0.230351	9.710971	9.531184
10990	-16.91049	-15.88205	-1.028441	0.06788751	0.7542441	0.2342113	10.21023	9.990797
11000	-18.18529	-16.07095	-2.114337	0.098945	0.8287277	0.3589133	7.005379	8.913652
11010	-16.46641	-15.325	-1.141411	0.06465483	0.7429711	0.2808416	10.72073	9.881253
11020	-17.87619	-16.20132	-1.674875	0.08803413	0.8080155	0.2915312	7.873619	8.92031
11030	-19.4427	-18.05442	-1.388287	0.08326335	0.7973877	0.2422076	8.324758	8.887786
11040	-17.86539	-16.67127	-1.194119	0.06385826	0.7400495	0.3010877	10.85446	9.474174
11050	-17.99074	-16.75484	-1.235898	0.07484992	0.7756977	0.2486233	9.260493	9.198287
11060	-18.39788	-16.54303	-1.854845	0.08360788	0.7981922	0.383386	8.290453	9.189173
11070	-17.09302	-15.80721	-1.285807	0.0678145	0.7539994	0.3034264	10.22122	9.557379
11080	-17.31114	-15.66524	-1.645897	0.08443242	0.8000934	0.3056979	8.209491	9.394843
11090	-16.7575	-15.63801	-1.119494	0.07007488	0.7613757	0.2449027	9.891522	9.828646
11100	-17.94433	-16.21947	-1.724851	0.09415367	0.8201862	0.2691493	7.361871	8.979947
11110	-16.51251	-15.30335	-1.20916	0.06702443	0.7513228	0.2857899	10.34171	9.853911
11120	-17.49096	-16.44729	-1.043677	0.07130021	0.765208	0.2211944	9.72153	9.64292
11130	-16.74299	-15.68167	-1.061325	0.06173115	0.7319494	0.2758191	11.22848	9.834001
11140	-16.53316	-15.37962	-1.15354	0.06919755	0.758561	0.2581455	10.01693	9.785216
11150	-17.54767	-15.72791	-1.81976	0.09132077	0.8147407	0.3142816	7.590247	9.188801
11160	-16.51224	-15.29697	-1.215271	0.06840299	0.7559593	0.279252	10.13329	9.788826
11170	-18.97926	-17.59892	-1.38034	0.08356293	0.7980876	0.2387676	8.294912	8.967139
11180	-18.11168	-16.57508	-1.536601	0.07811664	0.7846123	0.3133502	8.873234	9.013008
11190	-17.1518	-15.70128	-1.450516	0.07405134	0.7734139	0.3134068	9.36036	9.778542
11200	-17.95572	-16.40695	-1.548769	0.0881117	0.8081795	0.2565683	7.866687	9.346129
11210	-19.09719	-17.9531	-1.14409	0.05478998	0.7021319	0.3471654	12.65098	9.773398
11220	-17.20968	-15.93643	-1.273251	0.06431893	0.7417463	0.3227114	10.77672	9.770467
11230	-16.67895	-15.48544	-1.193505	0.06735827	0.7524602	0.2793646	10.29045	9.667983
11240	-17.41999	-16.0967	-1.323286	0.06769498	0.7535978	0.3158143	10.23927	9.495089
11250	-18.41636	-16.34347	-2.072895	0.1056227	0.8394011	0.2988486	6.56248	8.729289
11260	-18.54991	-16.14665	-2.403265	0.1158045	0.8533889	0.3350404	5.985496	8.847165
11270	-18.11885	-16.71967	-1.399184	0.06367741	0.7393779	0.3710382	10.88529	9.914399
11280	-19.03465	-17.5752	-1.459457	0.07331604	0.7712728	0.3211944	9.454236	8.953921
11290	-16.48768	-15.30977	-1.177915	0.06485511	0.7436964	0.2900476	10.68763	9.997611
11300	-21.09361	-18.76694	-2.32667	0.1254936	0.8646438	0.2526623	5.523367	8.710171
11310	-17.13222	-15.73565	-1.396575	0.06959776	0.7598524	0.3263811	9.959332	9.834323
11320	-17.74287	-16.88763	-0.8552387	0.06181862	0.7322914	0.2240351	11.2126	9.741097
11330	-17.20925	-15.6828	-1.526453	0.08332701	0.7975368	0.2777191	8.318397	9.395402
11340	-19.49867	-17.62998	-1.868693	0.07887714	0.7865939	0.429781	8.787682	9.238623
11350	-17.34875	-16.03196	-1.31679	0.07231203	0.7682885	0.284486	9.585503	9.307568
11360	-17.00185	-15.55395	-1.447902	0.0801186	0.7897564	0.2748269	8.651514	9.401384
11370	-18.67562	-16.7046	-1.97102	0.08746446	0.8068023	0.3967793	7.924901	9.288678
11380	-21.31053	-18.89199	-2.418541	0.1186657	0.8568995	0.3201573	5.841177	8.251944
11390	-19.04197	-17.94438	-1.097593	0.06250616	0.7349522	0.281341	11.08926	9.315436
11400	-17.62682	-16.56282	-1.064	0.06349221	0.7386869	0.2664138	10.91704	9.537007
11410	-18.04739	-16.24049	-1.806902	0.08404026	0.7991934	0.3621012	8.247799	9.134988
11420	-17.36112	-15.82825	-1.532869	0.07528162	0.7769147	0.3315402	9.207389	9.67902
11430	-16.34922	-15.29766	-1.051562	0.06454311	0.7425649	0.2573179	10.73929	9.930396
11440	-16.76959	-15.51659	-1.252999	0.07135655	0.7653814	0.2723721	9.713855	9.873653
11450	-16.57474	-15.43076	-1.143978	0.06803891	0.7547501	0.2620532	10.18751	9.98791
11460	-17.46062	-16.37805	-1.082564	0.0712039	0.7649108	0.2304359	9.73468	9.912984
11470	-19.59517	-16.64151	-2.953656	0.1404753	0.8790354	0.3441678	4.934301	8.689515
11480	-16.53873	-15.46015	-1.078582	0.06659903	0.7498598	0.2530802	10.40777	9.775685
11490	-17.89152	-16.24195	-1.649571	0.0828717	0.7964658	0.3171548	8.3641	9.650297
11500	-17.98883	-16.40039	-1.588434	0.07655823	0.7804431	0.3411167	9.053856	9.858977
11510	-17.31342	-16.44278	-0.8706435	0.05620956	0.70869	0.2562701	12.33148	9.957432
11520	-17.41238	-15.77494	-1.637438	0.08312315	0.7970586	0.3116626	8.338798	9.490101
11530	-18.6854	-16.31834	-2.367062	0.111629	0.8479516	0.3530645	6.20938	8.998825
11540	-17.41423	-15.89553	-1.518698	0.07530446	0.7769788	0.3267167	9.204596	9.763606
11550	-17.62997	-15.88376	-1.746203	0.08715298	0.8061329	0.3189942	7.953224	9.399496
11560	-17.09392	-15.88781	-1.206108	0.06142605	0.7307507	0.3208593	11.28425	9.957713
11570	-17.40458	-15.80428	-1.600308	0.07995082	0.7893341	0.3212139	8.66967	9.581305
11580	-17.52842	-15.89412	-1.634306	0.08546098	0.8024181	0.2956512	8.110686	9.039623
11590	-19.66155	-17.94173	-1.719822	0.07201256	0.7673845	0.4284059	9.625365	9.993687
11600	-18.5762	-16.42795	-2.148259	0.1011197	0.8323513	0.3545524	6.854721	9.20486
11610	-19.11743	-16.92553	-2.191897	0.09544627	0.8225701	0.41775	7.262171	9.005412
11620	-22.37902	-19.51111	-2.86791	0.1237614	0.8627584	0.4503619	5.600675	9.366402
11630	-16.62891	-15.35824	-1.270663	0.07071436	0.7633898	0.2810297	9.802071	9.80517
11640	-17.362	-16.15149	-1.210502	0.07544778	0.7773799	0.2393329	9.187111	9.684236
11650	-19.62057	-17.4624	-2.158174	0.1006498	0.831581	0.3616737	6.886723	9.430767
11660	-17.88052	-16.4406	-1.439917	0.08498348	0.8013452	0.2458998	8.156258	9.149659
11670	-18.57355	-17.20224	-1.371314	0.07563185	0.7778931	0.2799922	9.164752	8.996579
11680	-18.8198	-17.0151	-1.804707	0.08237441	0.7952838	0.3743078	8.414593	9.737033
11690	-16.54972	-15.32793	-1.221785	0.06673947	0.7503445	0.2911763	10.38587	9.90931
11700	-16.69657	-15.54192	-1.154652	0.06356949	0.7389756	0.2912152	10.90377	9.830611
11710	-22.16981	-19.06907	-3.100733	0.1271399	0.8663888	0.5291026	5.451846	8.267812
11720	-16.92992	-15.45875	-1.471171	0.0777429	0.7836259	0.295841	8.915891	9.466125
11730	-18.22893	-16.84756	-1.381369	0.0747952	0.7755426	0.2878877	9.267268	9.060693
11740	-16.97979	-15.70703	-1.272757	0.06945189	0.7593832	0.2892651	9.980249	9.503247
11750	-18.33584	-16.30773	-2.028112	0.09860305	0.8281441	0.3316605	7.029673	9.244654
11760	-17.63766	-16.08837	-1.549289	0.08580456	0.8031832	0.269582	8.078209	9.428384
11770	-17.05889	-15.60804	-1.450847	0.0743646	0.7743148	0.3114336	9.32093	9.714018
11780	-16.5008	-15.46818	-1.032616	0.06556125	0.7462247	0.2470923	10.57251	9.849733
11790	-19.02593	-17.3418	-1.684128	0.07279484	0.7697325	0.4065784	9.521928	9.406924
11800	-19.77145	-17.51661	-2.25484	0.1031402	0.8355873	0.3778748	6.720439	8.459166
11810	-18.60801	-16.19478	-2.413228	0.1144786	0.8517041	0.3480514	6.05482	8.906604
11820	-16.79825	-15.73556	-1.062696	0.06709064	0.7515492	0.2465065	10.3315	9.675562
