Iteration	Posterior	Likelihood	Prior	alpha	is_BM	is_OU	p_th	sigma2	t_half	theta
0	-19.76795	-16.71571	-3.052241	0.1039359	0	1	0.8368287	0.4123743	6.668989	8.898404
10	-17.46177	-15.49864	-1.963128	0.06644699	0	1	0.7493331	0.3074557	10.43158	9.86248
20	-18.38433	-16.07369	-2.310643	0.08382803	0	1	0.7987032	0.3009733	8.26868	9.008332
30	-22.8175	-18.43178	-4.385718	0.1636739	0	1	0.8961606	0.4404381	4.234929	8.124404
40	-18.74455	-17.07788	-1.666666	0.06502078	0	1	0.7442936	0.2355996	10.6604	9.50525
50	-17.96724	-15.70257	-2.264673	0.07919719	0	1	0.7874176	0.3171318	8.752169	9.56606
60	-20.13337	-17.84809	-2.285278	0.06723469	0	1	0.7520403	0.4172835	10.30937	9.547393
70	-19.41448	-17.27438	-2.140103	0.06644697	0	1	0.749333	0.3669797	10.43158	9.389997
80	-17.99159	-15.87171	-2.11988	0.07088227	0	1	0.7639135	0.3273293	9.778851	9.527445
90	-19.47313	-16.42876	-3.044375	0.1087109	0	1	0.8439112	0.3697177	6.376061	9.050018
100	-19.51218	-17.67729	-1.834892	0.05507643	0	1	0.7034758	0.3442534	12.58519	9.820834
110	-19.06101	-17.09455	-1.966462	0.06068835	0	1	0.7278125	0.3485784	11.42142	9.660664
120	-17.94992	-15.78398	-2.165939	0.07962445	0	1	0.7885081	0.2847232	8.705205	9.623372
130	-18.68458	-16.66144	-2.02314	0.07186211	0	1	0.7669279	0.2910324	9.645517	9.175317
140	-19.50294	-16.37281	-3.130132	0.1108919	0	1	0.8469504	0.3846044	6.250654	8.927979
150	-18.50183	-16.76247	-1.739364	0.05791447	0	1	0.7162398	0.2946025	11.96846	9.755705
160	-19.76475	-17.10996	-2.654786	0.08547243	0	1	0.8024436	0.4100462	8.1096	9.045309
170	-19.40134	-16.91765	-2.483691	0.07859071	0	1	0.7858516	0.399896	8.819709	9.502304
180	-21.80664	-18.14456	-3.662085	0.1240493	0	1	0.8630754	0.4952033	5.587674	8.432367
190	-21.16165	-19.05001	-2.111637	0.05631355	0	1	0.7091605	0.442248	12.30871	9.989777
200	-19.92023	-17.84499	-2.07524	0.08765819	0	1	0.8072165	0.2192785	7.907386	9.177113
210	-17.91737	-16.09756	-1.819803	0.07175055	0	1	0.7665883	0.2380463	9.660514	9.870411
220	-17.92359	-15.6328	-2.29079	0.0855327	0	1	0.8025782	0.2845744	8.103885	9.245317
230	-18.19041	-16.39198	-1.798428	0.07337212	0	1	0.7714374	0.2251304	9.44701	9.654386
240	-17.95166	-15.72766	-2.224003	0.07784479	0	1	0.7838957	0.3133578	8.90422	9.647106
250	-19.0539	-16.06577	-2.98813	0.1075636	0	1	0.8422647	0.3581101	6.44407	8.87943
260	-20.21098	-16.83332	-3.377664	0.1197855	0	1	0.8582289	0.4079015	5.78657	8.534146
270	-18.24357	-16.30867	-1.934893	0.07670086	0	1	0.7808309	0.2404492	9.03702	9.685504
280	-19.15585	-16.11995	-3.035895	0.1142074	0	1	0.8513548	0.326237	6.069197	8.838714
290	-18.07137	-15.81317	-2.258202	0.07698377	0	1	0.7815964	0.3302385	9.003809	9.362476
300	-19.95085	-16.52092	-3.429934	0.1309861	0	1	0.8702972	0.3388711	5.291762	8.770038
310	-20.65136	-17.02656	-3.624798	0.1410189	0	1	0.8795007	0.3328157	4.91528	8.767583
320	-20.31339	-17.25834	-3.055045	0.1197738	0	1	0.8582151	0.2954963	5.787137	8.96181
330	-19.77559	-16.89519	-2.880402	0.1067616	0	1	0.8410935	0.3270558	6.492478	9.209237
340	-20.51184	-16.86781	-3.644033	0.1307436	0	1	0.8700575	0.42194	5.301575	8.499051
350	-19.11956	-16.48144	-2.638113	0.09413616	0	1	0.8201535	0.3355439	7.363241	9.386253
360	-19.87613	-17.12614	-2.749995	0.1101042	0	1	0.8458662	0.267413	6.295376	8.73786
370	-19.01235	-16.99667	-2.015676	0.08321162	0	1	0.7972664	0.2270418	8.329933	9.294833
380	-22.22736	-18.5846	-3.642761	0.1215375	0	1	0.8602607	0.5123177	5.703153	9.058877
390	-19.34438	-16.70941	-2.634963	0.1005223	0	1	0.8313707	0.2920981	6.895459	8.687664
400	-18.94638	-16.31549	-2.630896	0.09814507	0	1	0.8273565	0.3059638	7.062476	9.237975
410	-20.42999	-16.58759	-3.842397	0.1444557	0	1	0.8823622	0.3846208	4.798337	8.504168
420	-18.55308	-16.42542	-2.127658	0.08059591	0	1	0.7909491	0.2684385	8.600278	9.054938
430	-17.98725	-15.71464	-2.272601	0.0839782	0	1	0.7990503	0.2888169	8.253894	9.145797
440	-17.77706	-15.71119	-2.065871	0.06865614	0	1	0.7567937	0.3251206	10.09592	9.817021
450	-20.5158	-18.25201	-2.263787	0.06516831	0	1	0.7448234	0.4267182	10.63626	9.559562
460	-20.84335	-18.21385	-2.6295	0.07965225	0	1	0.7885787	0.4523642	8.702167	9.702216
470	-17.98997	-16.06719	-1.922785	0.06353949	0	1	0.7388636	0.3140917	10.90892	9.696731
480	-17.98833	-15.62569	-2.362641	0.08469276	0	1	0.8006866	0.3112727	8.184256	9.205736
