Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
117	1	-12.99764	-14.89672	1.899082	0.03742651
118	0	-13.0021	-14.8959	1.893799	0.03762475
119	1	-13.09245	-14.90909	1.816643	0.04064265
120	0	-13.13092	-14.92292	1.792	0.04165665
121	1	-13.49018	-15.12013	1.629951	0.04898478
122	0	-13.27422	-14.99158	1.717369	0.04488447
123	1	-13.18998	-14.94868	1.758703	0.04306704
124	0	-12.96474	-14.99905	2.034318	0.03269241
125	1	-13.54128	-15.87591	2.334624	0.02421173
126	0	-12.97166	-15.02184	2.050175	0.03217808
127	1	-13.81254	-15.33744	1.524902	0.05441059
128	0	-13.41583	-15.07369	1.657864	0.0476364
129	1	-13.20865	-15.43076	2.222105	0.02709519
130	0	-14.82053	-16.09493	1.274409	0.06989902
131	1	-14.06546	-15.51951	1.454046	0.0584058
132	0	-12.96012	-14.97836	2.018238	0.03322235
133	1	-13.1779	-14.94306	1.765161	0.04278983
134	0	-12.96451	-14.92004	1.955526	0.03537251
135	1	-13.04156	-15.16994	2.128387	0.02975729
136	0	-12.96961	-14.91246	1.942854	0.0358236
137	1	-13.15819	-14.93425	1.776061	0.04232591
138	0	-13.30248	-15.56196	2.259485	0.02610105
139	1	-13.22383	-15.45244	2.228611	0.02691949
140	0	-13.14221	-15.33298	2.190777	0.02795745
141	1	-13.00275	-15.0961	2.093349	0.03081839
142	0	-12.95771	-14.94868	1.990967	0.03414082
143	1	-12.97479	-14.90728	1.932486	0.03619696
144	0	-13.38965	-15.05781	1.668164	0.04714826
145	1	-13.03309	-14.89562	1.862523	0.03882009
146	0	-13.89261	-15.39423	1.501625	0.05569197
147	1	-13.0995	-14.9114	1.811903	0.04083574
148	0	-13.11678	-14.91751	1.800732	0.04129448
149	1	-12.96363	-14.92179	1.958163	0.03527936
150	0	-12.99718	-15.08434	2.08716	0.03100973
151	1	-12.96301	-14.92314	1.960135	0.03520984
152	0	-13.19852	-14.95275	1.754227	0.04326024
153	1	-13.66699	-15.23672	1.569731	0.05202528
154	0	-12.97823	-14.90468	1.926455	0.0364159
155	1	-12.97835	-15.0403	2.061948	0.0318015
156	0	-12.971	-14.91088	1.939876	0.03593044
157	1	-13.04904	-14.89792	1.848883	0.03935322
158	0	-12.96405	-14.92094	1.95689	0.03532431
159	1	-13.12362	-14.92008	1.796465	0.04147107
160	0	-13.24239	-15.47868	2.236297	0.02671336
161	1	-14.81252	-16.08866	1.276143	0.06977796
162	0	-13.4056	-15.70023	2.294623	0.02519984
163	1	-15.33612	-17.97961	2.643483	0.01777828
164	0	-14.20927	-16.68896	2.479698	0.02094213
165	1	-12.99455	-14.89746	1.902908	0.03728356
166	0	-13.38138	-15.05286	1.671474	0.04699247
167	1	-12.98219	-14.90228	1.92009	0.03664843
168	0	-12.95954	-14.93377	1.974223	0.03471729
169	1	-12.9775	-14.90519	1.927693	0.03637086
