Iteration	Posterior	Likelihood	Prior	sigma2
780	-13.04904	-14.89792	1.848883	0.03935322
790	-13.12362	-14.92008	1.796465	0.04147107
800	-14.81252	-16.08866	1.276143	0.06977796
810	-15.33612	-17.97961	2.643483	0.01777828
820	-12.99455	-14.89746	1.902908	0.03728356
830	-12.98219	-14.90228	1.92009	0.03664843
840	-12.9775	-14.90519	1.927693	0.03637086
850	-13.71842	-16.09811	2.37969	0.02314481
860	-13.45515	-15.09802	1.64287	0.04835603
870	-13.55498	-15.16198	1.606995	0.05012229
880	-13.40468	-15.06689	1.662219	0.04742938
890	-13.61195	-15.19965	1.587696	0.05109901
900	-12.95764	-14.95318	1.995542	0.03398497
910	-13.1296	-15.31379	2.184185	0.02814235
920	-13.77146	-16.16347	2.392007	0.02286149
930	-15.2653	-16.44738	1.18208	0.07666008
940	-12.95773	-14.94803	1.990296	0.03416376
950	-14.43632	-15.79755	1.361224	0.0640867
960	-12.99752	-15.08506	2.087547	0.03099774
970	-14.38398	-15.75768	1.373704	0.06329188
980	-14.5552	-15.88871	1.333511	0.06588759
990	-13.20855	-15.43062	2.222061	0.02709637
1000	-14.3845	-15.75808	1.373578	0.06329983
1010	-13.34807	-15.03318	1.685115	0.04635577
1020	-12.99398	-15.07738	2.083403	0.03112646
1030	-12.97991	-14.90359	1.923679	0.03651714
1040	-13.24893	-14.97811	1.729182	0.04435737
1050	-13.96067	-15.44316	1.482488	0.05676803
1060	-12.96921	-14.91294	1.943736	0.03579201
1070	-13.06719	-14.90187	1.834675	0.03991636
1080	-13.34289	-15.03017	1.687281	0.04625547
1090	-14.91994	-16.17305	1.25311	0.07140379
1100	-13.17754	-14.9429	1.765353	0.04278158
1110	-13.17754	-14.9429	1.765353	0.04278158
1120	-14.10164	-16.56168	2.460032	0.02135806
1130	-13.07023	-14.90264	1.83241	0.04000685
1140	-13.28005	-15.53116	2.25111	0.02632058
1150	-14.34912	-15.73124	1.382117	0.06276164
1160	-13.23692	-15.47098	2.234062	0.02677313
1170	-12.98229	-14.90222	1.919931	0.03665427
1180	-13.4212	-15.07698	1.655783	0.0477356
1190	-13.12402	-14.92024	1.796219	0.04148127
1200	-12.98519	-15.05728	2.072098	0.03148033
1210	-13.04588	-15.17759	2.131706	0.02965868
1220	-15.63509	-16.74533	1.110242	0.08236979
1230	-13.07819	-14.90479	1.826605	0.04023976
1240	-14.05936	-15.51503	1.45567	0.05831104
1250	-13.12646	-15.30896	2.182501	0.0281898
1260	-12.9961	-14.89707	1.900977	0.03735563
1270	-13.2845	-14.99719	1.712686	0.04509517
1280	-13.06248	-14.90073	1.838247	0.03977401
1290	-13.88399	-15.38808	1.504091	0.05555481
1300	-13.12782	-15.31105	2.183231	0.02816923
1310	-12.95945	-14.97428	2.014834	0.03333565
1320	-15.77682	-16.86049	1.083666	0.08458824
1330	-13.49019	-15.12014	1.629948	0.04898493
1340	-12.99504	-14.89734	1.902298	0.03730631
1350	-12.99656	-14.89696	1.900403	0.03737707
1360	-13.37175	-15.04712	1.675365	0.04680995
1370	-14.74739	-16.03774	1.290357	0.06879313
1380	-13.27394	-14.99144	1.717495	0.0448788
1390	-13.00217	-15.09489	2.092719	0.03083783
1400	-13.48659	-15.11785	1.631256	0.04892093
1410	-13.06127	-15.20416	2.14288	0.02932911
1420	-13.50147	-15.82495	2.323476	0.02448314
1430	-13.71087	-15.26671	1.555834	0.05275334
1440	-13.82706	-16.2315	2.404441	0.02257899
1450	-12.96434	-14.92037	1.95603	0.03535468
1460	-13.05871	-14.89987	1.841161	0.0396583
1470	-13.13625	-14.92505	1.788802	0.04179009
1480	-14.85629	-17.43738	2.581086	0.01892294
1490	-13.28599	-15.53935	2.253359	0.02626144
1500	-13.17157	-14.94018	1.768612	0.0426424
1510	-13.94882	-15.4346	1.485779	0.05658149
1520	-12.95764	-14.95149	1.993845	0.03404272
1530	-14.4034	-15.77246	1.369052	0.06358701
1540	-12.9578	-14.9587	2.000891	0.03380368
1550	-13.80905	-15.33499	1.525938	0.05435427
1560	-13.35169	-15.62857	2.276881	0.02565093
1570	-12.9601	-14.97823	2.018137	0.0332257
1580	-13.1258	-14.92092	1.795124	0.04152671
1590	-12.95764	-14.95345	1.995807	0.033976
1600	-13.04166	-14.8967	1.855038	0.03911174
1610	-13.21042	-14.95854	1.748112	0.04352558
1620	-13.8793	-15.38473	1.505435	0.05548018
1630	-13.07768	-15.23155	2.153868	0.02900861
1640	-14.02413	-16.46933	2.445196	0.02167729
1650	-13.53403	-15.14832	1.614291	0.04975795
1660	-13.11441	-14.91664	1.802225	0.04123288
1670	-13.05631	-14.89935	1.843046	0.03958359
1680	-12.98911	-15.06644	2.077338	0.03131582
1690	-13.56787	-15.9097	2.341835	0.02403777
1700	-13.05354	-14.89878	1.845241	0.0394968
1710	-13.92885	-16.35493	2.426083	0.02209558
1720	-12.96178	-14.92617	1.964386	0.03506048
1730	-12.97214	-14.9097	1.937553	0.036014
1740	-13.60983	-15.9627	2.352868	0.02377402
1750	-13.00194	-15.09441	2.092469	0.03084552
1760	-13.04695	-14.89755	1.850601	0.03928568
1770	-12.98922	-14.89913	1.909905	0.03702363
1780	-13.13048	-15.31513	2.184651	0.02812926
1790	-13.80675	-15.33337	1.526622	0.05431707
1800	-16.53862	-17.48664	0.9480252	0.09687638
1810	-12.96085	-14.98232	2.021464	0.03311533
1820	-13.54648	-15.15642	1.609943	0.04997477
1830	-12.97264	-15.02469	2.052052	0.03211775
1840	-12.96534	-14.91855	1.95321	0.03545452
1850	-13.08063	-15.23639	2.155759	0.02895382
1860	-13.1707	-14.93979	1.769088	0.04262209
1870	-13.06431	-14.90116	1.83685	0.03982963
1880	-12.96578	-14.91782	1.952045	0.03549585
1890	-13.08527	-15.24395	2.158679	0.0288694
1900	-13.11011	-14.91508	1.80497	0.04111987
1910	-13.06956	-15.2181	2.148535	0.02916372
1920	-13.16068	-14.93534	1.77466	0.04238528
1930	-13.39028	-15.67999	2.289707	0.02532404
1940	-12.96799	-14.91451	1.946526	0.03569232
1950	-13.1133	-14.91623	1.802934	0.04120366
1960	-12.97815	-14.90474	1.926586	0.03641113
1970	-15.33224	-16.50102	1.168783	0.0776862
1980	-13.81621	-15.34003	1.523816	0.05446973
1990	-13.29584	-15.55288	2.257039	0.02616498
2000	-14.84246	-16.11214	1.269672	0.0702309
2010	-13.02849	-14.8952	1.866711	0.03865785
2020	-13.45945	-15.10071	1.641266	0.04843366
2030	-14.10005	-15.54495	1.444904	0.05894218
2040	-12.96117	-14.98394	2.022761	0.03307242
2050	-15.88449	-16.94828	1.06379	0.08628628
2060	-12.95781	-14.9589	2.001085	0.03379712
2070	-13.39828	-15.69056	2.292285	0.02525884
2080	-13.07616	-15.22905	2.152886	0.02903713
2090	-13.18623	-14.94692	1.760691	0.04298149
2100	-13.43975	-15.08843	1.648679	0.04807596
2110	-12.95764	-14.9534	1.995761	0.03397754
2120	-13.35915	-15.03967	1.680522	0.04656916
2130	-14.95902	-16.20387	1.244849	0.07199606
2140	-13.90001	-16.3201	2.420089	0.02222842
2150	-14.40434	-15.77317	1.368828	0.06360126
2160	-13.05025	-15.18523	2.134975	0.02956188
2170	-13.06701	-14.90182	1.834807	0.03991107
2180	-13.14633	-15.33921	2.192881	0.02789868
2190	-13.1248	-15.30641	2.181607	0.02821501
2200	-12.96574	-14.91788	1.952144	0.03549233
2210	-13.10522	-15.27588	2.17066	0.02852558
2220	-13.01425	-15.11922	2.104972	0.03046227
2230	-12.96482	-14.99937	2.034553	0.03268474
2240	-13.00368	-14.89566	1.891986	0.037693
2250	-13.47356	-15.10959	1.636032	0.04868784
2260	-14.44729	-16.96725	2.519951	0.02011588
2270	-13.25214	-14.9798	1.727658	0.04442504
2280	-13.45736	-15.09941	1.642044	0.04839598
2290	-13.24053	-14.97374	1.733207	0.04417919
2300	-13.5826	-15.92835	2.345755	0.02394373
2310	-13.18975	-15.40345	2.213699	0.0273239
2320	-13.72938	-16.11166	2.382275	0.02308507
2330	-13.2237	-14.96515	1.741445	0.04381674
2340	-14.17957	-15.60387	1.424306	0.06016888
2350	-13.08957	-15.25092	2.161344	0.02879254
2360	-13.12909	-14.9222	1.793111	0.04161041
2370	-15.19809	-16.39367	1.195575	0.07563247
2380	-14.07316	-16.52781	2.45465	0.02147332
2390	-13.14774	-14.92978	1.782044	0.04207346
2400	-15.14748	-16.35332	1.205837	0.07486035
2410	-12.95822	-14.94173	1.983509	0.0343964
2420	-13.41701	-15.07441	1.657405	0.04765824
2430	-13.3311	-15.02336	1.692263	0.04602561
2440	-15.42601	-16.5764	1.150382	0.07912898
2450	-13.07768	-15.23154	2.153864	0.02900874
2460	-15.10793	-16.32185	1.213917	0.07425791
2470	-13.27633	-14.99273	1.716401	0.04492795
2480	-13.04281	-15.17216	2.129354	0.02972851
2490	-13.014	-15.11874	2.104735	0.03046949
2500	-12.98427	-14.90121	1.916948	0.03676376
2510	-13.232	-14.96936	1.737353	0.04399641
2520	-13.46571	-15.77878	2.313071	0.02473922
2530	-12.9904	-15.06939	2.07899	0.03126411
2540	-14.74305	-16.03436	1.29131	0.0687276
2550	-14.78132	-17.35184	2.570511	0.0191241
2560	-13.32863	-15.59752	2.268887	0.0258568
2570	-13.41088	-15.07067	1.659792	0.04754463
2580	-13.24918	-14.97824	1.729063	0.04436266
2590	-13.12002	-14.91872	1.798696	0.04137866
2600	-13.72974	-15.2797	1.549967	0.05306374
2610	-12.97057	-14.91135	1.940783	0.03589788
2620	-12.96007	-14.9316	1.971529	0.03481096
2630	-14.30242	-15.69594	1.39352	0.06205005
2640	-12.96735	-14.9154	1.948045	0.0356381
2650	-13.73944	-15.28641	1.546974	0.05322282
2660	-14.63281	-17.18159	2.548773	0.01954438
2670	-13.72285	-15.27495	1.552103	0.05295054
2680	-15.34406	-16.51051	1.166448	0.07786783
2690	-13.21001	-15.43271	2.222695	0.0270792
2700	-13.31575	-15.01461	1.698858	0.04572305
2710	-13.50447	-15.82881	2.324332	0.02446219
2720	-12.99731	-15.08462	2.08731	0.03100509
2730	-13.0491	-14.89793	1.848832	0.03935522
2740	-13.25388	-14.98072	1.726833	0.0444617
2750	-13.3247	-15.0197	1.694999	0.04589986
2760	-13.10922	-14.91477	1.805541	0.04109637
2770	-13.11554	-14.91705	1.801509	0.04126243
2780	-13.097	-15.26283	2.165831	0.02866367
2790	-12.98489	-15.05657	2.071684	0.03149336
2800	-13.66812	-15.23749	1.569369	0.05204412
2810	-13.24196	-15.47809	2.236125	0.02671796
2820	-12.98639	-14.90025	1.913854	0.03687768
2830	-13.39023	-15.05816	1.667931	0.04715924
2840	-13.94008	-15.4283	1.488219	0.05644358
2850	-14.10792	-16.56913	2.461207	0.02133297
2860	-15.11196	-16.32505	1.213091	0.07431923
2870	-13.20016	-15.41852	2.218369	0.02719659
2880	-13.06286	-15.20684	2.143979	0.0292969
2890	-12.98959	-14.899	1.909407	0.03704204
2900	-12.95875	-14.93784	1.979086	0.03454886
2910	-13.0602	-14.9002	1.840005	0.03970415
2920	-13.67212	-16.04066	2.368536	0.02340443
2930	-13.91797	-16.34181	2.423835	0.02214532
2940	-13.21869	-14.96263	1.743941	0.04370749
2950	-12.97326	-15.02646	2.053203	0.03208081
2960	-12.97772	-15.03865	2.060933	0.03183376
2970	-13.00639	-15.10357	2.097177	0.03070065
2980	-13.10913	-15.28203	2.172901	0.02846171
2990	-13.56839	-15.17078	1.602382	0.05035404
3000	-13.00828	-14.89516	1.886872	0.03788626
3010	-13.07189	-14.90307	1.831182	0.04005602
3020	-13.20873	-14.9577	1.748976	0.04348799
3030	-13.27894	-14.99415	1.71521	0.04498147
3040	-14.83643	-16.1074	1.270973	0.07013963
3050	-14.93786	-16.18718	1.249314	0.07167535
3060	-13.57539	-15.17538	1.599995	0.05047439
3070	-13.52722	-15.14391	1.616688	0.04963881
3080	-12.95933	-14.93474	1.975403	0.03467636
3090	-13.61819	-15.20382	1.585627	0.05120484
3100	-14.09538	-15.54151	1.44613	0.05886996
3110	-13.39405	-15.06046	1.666413	0.04723087
3120	-13.1065	-15.2779	2.171398	0.02850452
3130	-14.73087	-17.29412	2.563248	0.01926351
3140	-12.9645	-14.92007	1.955575	0.03537077
3150	-13.29529	-15.00314	1.707847	0.04531389
3160	-13.0069	-15.10461	2.097704	0.03068447
3170	-13.31465	-15.57856	2.263909	0.02598585
3180	-13.12234	-15.30261	2.180268	0.0282528
3190	-13.61179	-15.19954	1.587751	0.05109619
3200	-13.01139	-14.89494	1.883553	0.03801223
3210	-13.16482	-15.36686	2.202032	0.02764456
3220	-14.46357	-16.98613	2.522561	0.02006345
3230	-13.31111	-15.57374	2.262631	0.02601909
3240	-14.81528	-16.09082	1.275546	0.06981963
3250	-12.97665	-15.03583	2.059174	0.03188982
3260	-13.00118	-15.09283	2.091649	0.03087085
3270	-13.93062	-15.42149	1.490867	0.05629434
3280	-13.34599	-15.62092	2.274928	0.02570107
3290	-13.40859	-15.06927	1.660686	0.04750217
3300	-13.29172	-15.00116	1.709443	0.04524165
3310	-13.14558	-14.92888	1.7833	0.04202063
3320	-13.1473	-15.34067	2.193372	0.02788501
3330	-13.20166	-15.42069	2.219035	0.02717849
3340	-13.14214	-15.33288	2.190742	0.02795843
3350	-13.05483	-14.89905	1.844216	0.03953731
3360	-12.96192	-14.9258	1.96388	0.03507825
3370	-12.96192	-14.9258	1.96388	0.03507825
3380	-13.06254	-14.90074	1.838198	0.03977597
3390	-13.39111	-15.68109	2.289975	0.02531724
3400	-12.98604	-14.9004	1.914364	0.03685889
3410	-13.09359	-14.90946	1.815868	0.04067415
3420	-14.43378	-15.79561	1.361826	0.06404814
3430	-13.07316	-15.22408	2.15092	0.02909425
3440	-13.12918	-14.92224	1.793055	0.0416127
3450	-13.57027	-15.17201	1.601739	0.05038642
3460	-13.32755	-15.59605	2.268505	0.02586669
3470	-13.57737	-15.17669	1.59932	0.05050848
3480	-13.11672	-14.91749	1.800764	0.04129316
3490	-12.98115	-15.04745	2.066293	0.0316636
3500	-12.99946	-14.89635	1.896892	0.03750853
3510	-13.02583	-14.89502	1.869187	0.03856224
3520	-13.076	-15.22878	2.15278	0.02904018
3530	-13.53126	-15.86312	2.331858	0.02427878
3540	-12.96862	-15.01248	2.04386	0.03238196
3550	-14.32578	-15.71357	1.387797	0.06240613
3560	-13.54713	-15.15684	1.609718	0.04998601
3570	-13.63308	-15.2138	1.580727	0.05145633
3580	-12.95776	-14.9579	2.000131	0.03382938
3590	-12.95866	-14.93842	1.979756	0.03452575
3600	-13.79602	-15.32584	1.529818	0.05414379
3610	-13.91931	-15.41336	1.49405	0.05611545
3620	-14.61973	-15.93854	1.318808	0.06686347
3630	-12.96129	-14.92755	1.966265	0.03499466
3640	-13.77236	-15.30929	1.536929	0.05376011
3650	-13.21028	-14.95847	1.748183	0.04352249
3660	-13.1083	-15.28072	2.172426	0.02847523
3670	-13.01319	-14.89486	1.881666	0.03808402
3680	-14.39405	-15.76534	1.371289	0.06344491
3690	-13.0033	-14.89572	1.892419	0.03767669
3700	-13.41235	-15.07157	1.659217	0.04757199
3710	-13.05181	-14.89844	1.846637	0.03944172
3720	-13.42179	-15.07735	1.655554	0.04774657
3730	-13.09418	-14.90965	1.815468	0.04069041
3740	-13.15975	-14.93493	1.775183	0.04236311
3750	-12.97132	-14.91054	1.939229	0.03595371
3760	-13.18774	-14.94763	1.759888	0.04301603
3770	-13.76549	-15.3045	1.539011	0.05364833
3780	-12.95864	-14.96839	2.009747	0.03350564
3790	-13.01779	-14.89477	1.876977	0.03826301
3800	-13.06742	-15.21452	2.147096	0.02920572
3810	-13.48517	-15.11695	1.631774	0.04889559
3820	-15.09459	-16.31125	1.216653	0.07405496
3830	-13.62954	-15.21143	1.581885	0.05139678
3840	-13.07136	-14.90293	1.831571	0.04004043
3850	-13.55195	-15.15999	1.608045	0.05006968
3860	-13.09805	-15.2645	2.166455	0.02864577
3870	-13.99641	-15.46906	1.472656	0.05732893
3880	-14.11424	-15.55542	1.441187	0.05916168
3890	-12.98214	-15.0499	2.06776	0.03161719
3900	-12.959	-14.93644	1.977437	0.03460588
3910	-13.45981	-15.10094	1.641131	0.04844017
3920	-13.12521	-14.9207	1.795485	0.04151173
3930	-13.06081	-14.90034	1.839529	0.03972306
3940	-15.03362	-16.26287	1.22925	0.07312797
3950	-13.23267	-14.96969	1.737029	0.04401064
3960	-12.97083	-14.91106	1.940235	0.03591754
3970	-13.02083	-14.89481	1.87398	0.03837786
3980	-14.16708	-15.59459	1.427502	0.05997686
3990	-15.52466	-18.19057	2.665901	0.01738417
4000	-15.80392	-16.88256	1.078638	0.0850146
4010	-14.93395	-16.18409	1.250142	0.07161603
4020	-12.95818	-14.96399	2.005811	0.03363778
4030	-13.40699	-15.70205	2.295064	0.02518874
4040	-14.18674	-15.60921	1.422475	0.06027916
4050	-13.0907	-15.25273	2.162032	0.02877276
4060	-13.57316	-15.91641	2.343249	0.0240038
4070	-13.11752	-14.91778	1.800263	0.04131384
4080	-16.2443	-18.98754	2.743239	0.01609039
4090	-13.58241	-15.92811	2.345704	0.02394494
4100	-13.1438	-14.92814	1.784339	0.04197702
4110	-13.1438	-14.92814	1.784339	0.04197702
4120	-13.09431	-14.90969	1.81538	0.040694
4130	-15.32744	-16.49717	1.169731	0.07761257
4140	-13.0775	-14.9046	1.827102	0.04021979
4150	-14.10811	-15.5509	1.442789	0.059067
4160	-13.90853	-16.3304	2.42187	0.02218888
4170	-13.70134	-15.26016	1.558824	0.05259581
4180	-14.27282	-15.67365	1.40083	0.06159807
4190	-13.88676	-15.39006	1.503296	0.055599
4200	-13.33233	-15.02407	1.69174	0.0460497
4210	-13.36618	-15.64795	2.281774	0.02552573
4220	-12.96044	-14.93026	1.96982	0.03487048
4230	-13.98393	-15.46001	1.476072	0.05713343
4240	-13.03703	-14.89607	1.859037	0.03895564
4250	-13.54716	-15.15686	1.609707	0.04998652
4260	-12.95992	-14.97724	2.017315	0.03325303
4270	-13.05465	-15.19284	2.138189	0.02946703
4280	-13.94258	-15.4301	1.487521	0.05648302
4290	-15.83423	-16.90727	1.073036	0.08549217
4300	-13.07452	-14.90378	1.829258	0.04013315
4310	-13.07877	-15.23334	2.154569	0.02898829
4320	-13.23312	-14.96993	1.736805	0.04402054
4330	-13.07144	-14.90295	1.831512	0.04004282
4340	-13.01299	-15.11674	2.103756	0.03049933
4350	-13.10537	-14.91341	1.808041	0.04099377
4360	-13.05834	-14.89979	1.841453	0.03964669
4370	-13.00253	-15.09564	2.093109	0.03082581
4380	-12.96559	-15.00221	2.036616	0.03261735
4390	-14.08247	-15.532	1.449536	0.05866977
4400	-13.54263	-15.15391	1.611283	0.04990783
4410	-13.13757	-15.32595	2.18838	0.02802454
4420	-13.15761	-14.934	1.776391	0.04231197
4430	-13.02519	-15.14013	2.114936	0.03016025
4440	-15.60653	-16.72219	1.115657	0.081925
4450	-13.092	-15.25483	2.162826	0.02874991
4460	-13.034	-14.89571	1.861711	0.03885161
4470	-13.09144	-14.90877	1.817335	0.04061455
4480	-12.95947	-14.9341	1.974628	0.03470323
4490	-14.01159	-15.48011	1.468522	0.0575664
4500	-12.99252	-14.89804	1.905519	0.03718637
4510	-13.85243	-15.36563	1.513196	0.05505127
4520	-13.66925	-16.03707	2.367829	0.02342097
4530	-15.20673	-16.40056	1.193833	0.07576437
4540	-13.35401	-15.03665	1.682647	0.04647033
4550	-13.64666	-15.22295	1.576295	0.05168491
4560	-13.54418	-15.15492	1.610742	0.04993485
4570	-13.05405	-14.89889	1.844839	0.03951271
4580	-13.15773	-14.93405	1.776324	0.04231481
4590	-12.98338	-14.90165	1.918266	0.03671535
4600	-12.98338	-14.90165	1.918266	0.03671535
4610	-13.03967	-14.89641	1.856749	0.0390449
4620	-15.70938	-16.80563	1.096251	0.08353036
4630	-13.55306	-15.16072	1.607659	0.05008902
4640	-13.0972	-15.26315	2.16595	0.02866023
4650	-13.40335	-15.06609	1.662739	0.04740471
4660	-13.58158	-15.92706	2.345484	0.02395021
4670	-14.24967	-15.65627	1.406592	0.06124417
4680	-13.02756	-15.14454	2.116983	0.03009859
4690	-13.01562	-15.12188	2.106265	0.0304229
4700	-15.37564	-16.53587	1.160235	0.07835316
4710	-13.03653	-14.896	1.859474	0.03893864
4720	-13.19359	-14.95039	1.756802	0.043149
4730	-14.94912	-16.19606	1.246937	0.07184594
4740	-13.13666	-14.92521	1.788557	0.04180031
4750	-13.00482	-14.89552	1.890692	0.03774183
4760	-12.98093	-14.90298	1.922051	0.03657664
4770	-12.95992	-14.97724	2.017311	0.03325315
4780	-14.33576	-15.72112	1.385363	0.06255822
4790	-14.4293	-15.79219	1.362888	0.06398018
4800	-12.96034	-14.9306	1.970258	0.03485521
4810	-12.96185	-14.92596	1.964111	0.03507015
4820	-13.07646	-14.90431	1.827847	0.04018982
4830	-13.09143	-14.90877	1.817341	0.0406143
4840	-12.95866	-14.93843	1.97977	0.03452526
4850	-13.07783	-15.23179	2.153961	0.02900592
4860	-13.46773	-15.7814	2.31367	0.02472442
4870	-14.76715	-16.05318	1.286022	0.06909197
4880	-14.72666	-16.02158	1.294922	0.06847979
4890	-13.56989	-15.17176	1.601869	0.05037989
4900	-13.64919	-16.01205	2.362859	0.02353766
4910	-13.02589	-14.89502	1.869135	0.03856427
4920	-12.96614	-14.91723	1.951095	0.0355296
4930	-12.96772	-15.00955	2.041831	0.03244772
4940	-14.01579	-16.45935	2.443563	0.02171271
4950	-12.97938	-15.04297	2.063582	0.03174955
4960	-14.88209	-16.14326	1.26117	0.07083059
4970	-13.16746	-14.93833	1.770878	0.04254587
4980	-14.74383	-16.03497	1.291138	0.0687394
4990	-13.03588	-15.15978	2.123894	0.02989128
5000	-13.03649	-14.896	1.859508	0.03893731
5010	-13.37257	-15.65648	2.283903	0.02547145
5020	-13.80598	-15.33283	1.526851	0.05430464
5030	-13.51424	-15.13553	1.621293	0.04941072
5040	-13.09367	-14.90949	1.815814	0.04067637
5050	-14.33764	-15.72254	1.384906	0.06258685
5060	-13.17596	-14.94217	1.766215	0.04274472
5070	-12.98406	-14.90131	1.91725	0.03675269
5080	-13.47271	-15.10906	1.636345	0.04867256
5090	-13.00902	-14.8951	1.886071	0.03791663
5100	-13.56871	-15.17098	1.602275	0.05035945
5110	-13.33912	-15.02799	1.688868	0.04618212
5120	-13.13907	-14.92619	1.787122	0.04186034
5130	-12.99615	-15.08213	2.085973	0.03104656
5140	-13.00028	-14.8962	1.895916	0.03754519
5150	-15.04013	-16.26803	1.227897	0.07322694
5160	-13.22526	-14.96593	1.740673	0.0438506
5170	-13.66479	-15.23523	1.570438	0.05198851
5180	-12.96827	-14.91413	1.945862	0.03571602
5190	-13.00133	-15.09313	2.091806	0.03086598
5200	-13.67737	-15.24378	1.566412	0.05219825
5210	-15.92247	-16.97931	1.056841	0.08688799
5220	-15.5946	-16.71252	1.117925	0.08173937
5230	-13.07142	-15.22119	2.149774	0.02912763
5240	-13.01145	-15.11372	2.102265	0.03054485
5250	-14.29291	-15.68877	1.395861	0.06190495
5260	-13.13467	-15.32153	2.186864	0.02806708
5270	-12.96747	-15.00871	2.04124	0.0324669
5280	-13.58662	-15.1828	1.596185	0.05066708
5290	-12.98271	-15.0513	2.068588	0.03159101
5300	-15.56326	-16.68716	1.1239	0.08125241
5310	-15.6596	-16.76521	1.105611	0.08275213
5320	-13.10015	-14.91162	1.811472	0.04085335
5330	-13.38402	-15.05443	1.670415	0.04704222
5340	-12.97002	-15.01689	2.046867	0.03228473
5350	-14.42595	-15.78963	1.363683	0.06392932
5360	-13.17323	-14.94093	1.7677	0.04268128
5370	-12.97007	-15.01705	2.046973	0.03228129
5380	-13.03167	-14.89547	1.863807	0.03877028
5390	-12.97691	-14.90562	1.928709	0.03633393
5400	-13.05444	-14.89897	1.844523	0.03952518
