Iteration	Posterior	Likelihood	Prior	sigma2
0	-13.11275	-15.2877	2.174952	0.0284034
10	-13.48769	-15.11855	1.630855	0.04894052
20	-15.24377	-16.43016	1.186388	0.07633053
30	-13.00379	-14.89565	1.891863	0.03769766
40	-13.22276	-15.45091	2.228157	0.02693171
50	-13.27879	-14.99407	1.71528	0.04497832
60	-12.99061	-15.06988	2.079264	0.03125556
70	-13.16751	-14.93836	1.770847	0.04254718
80	-14.49431	-15.84191	1.347601	0.0649657
90	-13.07485	-14.90387	1.829017	0.04014284
100	-12.96347	-14.9941	2.030638	0.03281295
110	-13.00859	-14.89513	1.886541	0.03789881
120	-13.25344	-15.49419	2.240748	0.02659472
130	-12.99029	-14.89875	1.908467	0.03707689
140	-12.9655	-15.00187	2.036369	0.03262542
150	-13.57033	-15.91282	2.342492	0.02402196
160	-12.95996	-14.93204	1.972077	0.03479188
170	-14.32538	-16.82522	2.499845	0.02052443
180	-14.43399	-15.79576	1.361778	0.06405123
190	-13.0367	-15.16125	2.124552	0.02987163
200	-14.3329	-15.71896	1.38606	0.06251467
210	-13.01533	-15.12133	2.105995	0.03043111
220	-12.9792	-14.90404	1.924839	0.0364748
230	-14.11968	-15.55944	1.439766	0.05924578
240	-13.73372	-15.28246	1.548735	0.05312918
250	-13.15163	-15.34718	2.195549	0.02782435
260	-13.413	-15.07196	1.658964	0.04758401
270	-13.08458	-14.90666	1.822074	0.04042251
280	-13.34027	-15.61322	2.272955	0.02575184
290	-13.07971	-14.90523	1.825517	0.04028358
300	-13.59313	-15.18712	1.593988	0.0507785
310	-13.0435	-15.17339	2.129891	0.02971255
320	-13.06542	-15.21115	2.145735	0.02924549
330	-13.03365	-15.15573	2.12208	0.02994555
340	-12.96307	-14.923	1.959928	0.03521714
350	-14.36159	-15.74069	1.379098	0.06295138
360	-13.33938	-15.02814	1.688759	0.04618719
370	-13.51448	-15.13568	1.621207	0.04941498
380	-14.09246	-15.53936	1.446901	0.05882459
390	-13.9032	-15.40181	1.498609	0.05586018
400	-12.96356	-14.99448	2.030919	0.03280373
410	-12.95764	-14.95322	1.995579	0.03398373
420	-12.99863	-14.89651	1.897888	0.03747121
430	-13.02083	-14.89481	1.873976	0.03837804
440	-12.97824	-14.90468	1.926438	0.03641652
450	-13.38644	-15.67489	2.288457	0.02535571
460	-14.21859	-16.69995	2.481355	0.02090745
470	-14.84651	-16.11531	1.268802	0.07029204
480	-13.03483	-14.8958	1.860977	0.03888014
490	-13.10749	-14.91415	1.806661	0.04105036
500	-14.06183	-15.51684	1.455013	0.05834932
510	-13.07704	-15.23049	2.153452	0.02902068
520	-12.95881	-14.9375	1.978693	0.03456247
530	-13.55097	-15.15935	1.608385	0.05005267
540	-12.95857	-14.939	1.980425	0.03450265
550	-13.32309	-15.01878	1.695689	0.0458682
560	-12.97056	-14.91136	1.940801	0.03589722
570	-13.41095	-15.70726	2.296317	0.0251572
580	-12.99764	-14.89672	1.899082	0.03742651
590	-13.09245	-14.90909	1.816643	0.04064265
600	-13.49018	-15.12013	1.629951	0.04898478
610	-13.18998	-14.94868	1.758703	0.04306704
620	-13.54128	-15.87591	2.334624	0.02421173
630	-13.81254	-15.33744	1.524902	0.05441059
640	-13.20865	-15.43076	2.222105	0.02709519
650	-14.06546	-15.51951	1.454046	0.0584058
660	-13.1779	-14.94306	1.765161	0.04278983
670	-13.04156	-15.16994	2.128387	0.02975729
680	-13.15819	-14.93425	1.776061	0.04232591
690	-13.22383	-15.45244	2.228611	0.02691949
700	-13.00275	-15.0961	2.093349	0.03081839
710	-12.97479	-14.90728	1.932486	0.03619696
720	-13.03309	-14.89562	1.862523	0.03882009
730	-13.0995	-14.9114	1.811903	0.04083574
740	-12.96363	-14.92179	1.958163	0.03527936
750	-12.96301	-14.92314	1.960135	0.03520984
760	-13.66699	-15.23672	1.569731	0.05202528
770	-12.97835	-15.0403	2.061948	0.0318015
